name,software,description,label,
dfs.client.failover.connection.retries,hdfs,Expert only. Indicates the number of retries a failover IPC client will make to establish a server connection.,reliability,
dfs.client.failover.connection.retries.on.timeouts,hdfs,Expert only. The number of retry attempts a failover IPC client will make on socket timeout when establishing a server connection.,reliability,
dfs.client.datanode-restart.timeout,hdfs,"Expert only. The time to wait, in seconds, from reception of an datanode shutdown notification for quick restart, until declaring the datanode dead and invoking the normal recovery mechanisms. The notification is sent by a datanode when it is being shutdown using the shutdownDatanode admin command with the upgrade option.",reliability,
dfs.nameservices,hdfs,Comma-separated list of nameservices.,environment,
dfs.nameservice.id,hdfs,The ID of this nameservice. If the nameservice ID is not configured or more than one nameservice is configured for dfs.nameservices it is determined automatically by matching the local node's address with the configured address.,environment,
dfs.internal.nameservices,hdfs,Comma-separated list of nameservices that belong to this cluster. Datanode will report to all the nameservices in this list. By default this is set to the value of dfs.nameservices.,manageability,
dfs.ha.namenodes.EXAMPLENAMESERVICE,hdfs,"The prefix for a given nameservice, contains a comma-separated list of namenodes for a given nameservice (eg EXAMPLENAMESERVICE). Unique identifiers for each NameNode in the nameservice, delimited by commas. This will be used by DataNodes to determine all the NameNodes in the cluster. For example, if you used mycluster as the nameservice ID previously, and you wanted to use nn1 and nn2 as the individual IDs of the NameNodes, you would configure a property dfs.ha.namenodes.mycluster, and its value ""nn1,nn2"".",manageability,
dfs.ha.namenode.id,hdfs,The ID of this namenode. If the namenode ID is not configured it is determined automatically by matching the local node's address with the configured address.,environment,
dfs.ha.log-roll.period,hdfs,"How often, in seconds, the StandbyNode should ask the active to roll edit logs. Since the StandbyNode only reads from finalized log segments, the StandbyNode will only be as up-to-date as how often the logs are rolled. Note that failover triggers a log roll so the StandbyNode will be up to date before it becomes active.",debuggability,
dfs.ha.tail-edits.period,hdfs,"How often, in seconds, the StandbyNode should check for new finalized log segments in the shared edits log.",debuggability,
dfs.ha.tail-edits.rolledits.timeout,hdfs,The timeout in seconds of calling rollEdits RPC on Active NN.,reliability,
dfs.ha.automatic-failover.enabled,hdfs,Whether automatic failover is enabled. See the HDFS High Availability documentation for details on automatic HA configuration.,reliability,
dfs.client.use.datanode.hostname,hdfs,Whether clients should use datanode hostnames when connecting to datanodes.,manageability,
dfs.datanode.use.datanode.hostname,hdfs,Whether datanodes should use datanode hostnames when connecting to other datanodes for data transfer.,manageability,
dfs.client.local.interfaces,hdfs,"A comma separated list of network interface names to use for data transfer between the client and datanodes. When creating a connection to read from or write to a datanode, the client chooses one of the specified interfaces at random and binds its socket to the IP of that interface. Individual names may be specified as either an interface name (eg ""eth0""), a subinterface name (eg ""eth0:0""), or an IP address (which may be specified using CIDR notation to match a range of IPs).",environment,
dfs.datanode.shared.file.descriptor.paths,hdfs,"A comma-separated list of paths to use when creating file descriptors that will be shared between the DataNode and the DFSClient. Typically we use /dev/shm, so that the file descriptors will not be written to disk. Systems that don't have /dev/shm will fall back to /tmp by default.",environment,
dfs.short.circuit.shared.memory.watcher.interrupt.check.ms,hdfs,The length of time in milliseconds that the short-circuit shared memory watcher will go between checking for java interruptions sent from other threads. This is provided mainly for unit tests.,reliability,
dfs.namenode.kerberos.principal,hdfs,The NameNode service principal. This is typically set to nn/_HOST@REALM.TLD. Each NameNode will substitute _HOST with its own fully qualified hostname at startup. The _HOST placeholder allows using the same configuration setting on both NameNodes in an HA setup.,security,
dfs.namenode.keytab.file,hdfs,The keytab file used by each NameNode daemon to login as its service principal. The principal name is configured with dfs.namenode.kerberos.principal.,environment,
dfs.datanode.kerberos.principal,hdfs,The DataNode service principal. This is typically set to dn/_HOST@REALM.TLD. Each DataNode will substitute _HOST with its own fully qualified hostname at startup. The _HOST placeholder allows using the same configuration setting on all DataNodes.,security,
dfs.datanode.keytab.file,hdfs,The keytab file used by each DataNode daemon to login as its service principal. The principal name is configured with dfs.datanode.kerberos.principal.,environment,
dfs.journalnode.kerberos.principal,hdfs,The JournalNode service principal. This is typically set to jn/_HOST@REALM.TLD. Each JournalNode will substitute _HOST with its own fully qualified hostname at startup. The _HOST placeholder allows using the same configuration setting on all JournalNodes.,security,
dfs.journalnode.keytab.file,hdfs,The keytab file used by each JournalNode daemon to login as its service principal. The principal name is configured with dfs.journalnode.kerberos.principal.,environment,
dfs.namenode.kerberos.internal.spnego.principal,hdfs,"The server principal used by the NameNode for web UI SPNEGO authentication when Kerberos security is enabled. This is typically set to HTTP/_HOST@REALM.TLD The SPNEGO server principal begins with the prefix HTTP/ by convention. If the value is '*', the web server will attempt to login with every principal specified in the keytab file dfs.web.authentication.kerberos.keytab.",security,
dfs.journalnode.kerberos.internal.spnego.principal,hdfs,"The server principal used by the JournalNode HTTP Server for SPNEGO authentication when Kerberos security is enabled. This is typically set to HTTP/_HOST@REALM.TLD. The SPNEGO server principal begins with the prefix HTTP/ by convention. If the value is '*', the web server will attempt to login with every principal specified in the keytab file dfs.web.authentication.kerberos.keytab. For most deployments this can be set to ${dfs.web.authentication.kerberos.principal} i.e use the value of dfs.web.authentication.kerberos.principal.",security,
dfs.secondary.namenode.kerberos.internal.spnego.principal,hdfs,"The server principal used by the Secondary NameNode for web UI SPNEGO authentication when Kerberos security is enabled. Like all other Secondary NameNode settings, it is ignored in an HA setup. If the value is '*', the web server will attempt to login with every principal specified in the keytab file dfs.web.authentication.kerberos.keytab.",security,
dfs.web.authentication.kerberos.principal,hdfs,The server principal used by the NameNode for WebHDFS SPNEGO authentication. Required when WebHDFS and security are enabled. In most secure clusters this setting is also used to specify the values for dfs.namenode.kerberos.internal.spnego.principal and dfs.journalnode.kerberos.internal.spnego.principal.,security,
dfs.web.authentication.kerberos.keytab,hdfs,The keytab file for the principal corresponding to dfs.web.authentication.kerberos.principal.,environment,
dfs.namenode.kerberos.principal.pattern,hdfs,A client-side RegEx that can be configured to control allowed realms to authenticate with (useful in cross-realm env.),security,
dfs.namenode.avoid.read.stale.datanode,hdfs,"Indicate whether or not to avoid reading from ""stale"" datanodes whose heartbeat messages have not been received by the namenode for more than a specified time interval. Stale datanodes will be moved to the end of the node list returned for reading. See dfs.namenode.avoid.write.stale.datanode for a similar setting for writes.",reliability,
dfs.namenode.avoid.write.stale.datanode,hdfs,"Indicate whether or not to avoid writing to ""stale"" datanodes whose heartbeat messages have not been received by the namenode for more than a specified time interval. Writes will avoid using stale datanodes unless more than a configured ratio (dfs.namenode.write.stale.datanode.ratio) of datanodes are marked as stale. See dfs.namenode.avoid.read.stale.datanode for a similar setting for reads.",reliability,
dfs.namenode.stale.datanode.interval,hdfs,"Default time interval in milliseconds for marking a datanode as ""stale"", i.e., if the namenode has not received heartbeat msg from a datanode for more than this time interval, the datanode will be marked and treated as ""stale"" by default. The stale interval cannot be too small since otherwise this may cause too frequent change of stale states. We thus set a minimum stale interval value (the default value is 3 times of heartbeat interval) and guarantee that the stale interval cannot be less than the minimum value. A stale data node is avoided during lease/block recovery. It can be conditionally avoided for reads (see dfs.namenode.avoid.read.stale.datanode) and for writes (see dfs.namenode.avoid.write.stale.datanode).",reliability,
dfs.namenode.write.stale.datanode.ratio,hdfs,"When the ratio of number stale datanodes to total datanodes marked is greater than this ratio, stop avoiding writing to stale nodes so as to prevent causing hotspots.",reliability,
dfs.namenode.invalidate.work.pct.per.iteration,hdfs,"*Note*: Advanced property. Change with caution. This determines the percentage amount of block invalidations (deletes) to do over a single DN heartbeat deletion command. The final deletion count is determined by applying this percentage to the number of live nodes in the system. The resultant number is the number of blocks from the deletion list chosen for proper invalidation over a single heartbeat of a single DN. Value should be a positive, non-zero percentage in float notation (X.Yf), with 1.0f meaning 100%.",reliability,
dfs.namenode.replication.work.multiplier.per.iteration,hdfs,"*Note*: Advanced property. Change with caution. This determines the total amount of block transfers to begin in parallel at a DN, for replication, when such a command list is being sent over a DN heartbeat by the NN. The actual number is obtained by multiplying this multiplier with the total number of live nodes in the cluster. The result number is the number of blocks to begin transfers immediately for, per DN heartbeat. This number can be any positive, non-zero integer.",reliability,
nfs.server.port,hdfs,Specify the port number used by Hadoop NFS.,environment,
nfs.mountd.port,hdfs,Specify the port number used by Hadoop mount daemon.,environment,
nfs.dump.dir,hdfs,"This directory is used to temporarily save out-of-order writes before writing to HDFS. For each file, the out-of-order writes are dumped after they are accumulated to exceed certain threshold (e.g., 1MB) in memory. One needs to make sure the directory has enough space.",environment,
nfs.rtmax,hdfs,"This is the maximum size in bytes of a READ request supported by the NFS gateway. If you change this, make sure you also update the nfs mount's rsize(add rsize= # of bytes to the mount directive).",performance,
nfs.wtmax,hdfs,"This is the maximum size in bytes of a WRITE request supported by the NFS gateway. If you change this, make sure you also update the nfs mount's wsize(add wsize= # of bytes to the mount directive).",performance,
nfs.keytab.file,hdfs,*Note*: Advanced property. Change with caution. This is the path to the keytab file for the hdfs-nfs gateway. This is required when the cluster is kerberized.,security,
nfs.kerberos.principal,hdfs,*Note*: Advanced property. Change with caution. This is the name of the kerberos principal. This is required when the cluster is kerberized.It must be of this format: nfs-gateway-user/nfs-gateway-host@kerberos-realm,security,
nfs.allow.insecure.ports,hdfs,"When set to false, client connections originating from unprivileged ports (those above 1023) will be rejected. This is to ensure that clients connecting to this NFS Gateway must have had root privilege on the machine where they're connecting from.",security,
dfs.webhdfs.enabled,hdfs,Enable WebHDFS (REST API) in Namenodes and Datanodes.,environment,
hadoop.fuse.connection.timeout,hdfs,The minimum number of seconds that we'll cache libhdfs connection objects in fuse_dfs. Lower values will result in lower memory consumption; higher values may speed up access by avoiding the overhead of creating new connection objects.,reliability,
hadoop.fuse.timer.period,hdfs,The number of seconds between cache expiry checks in fuse_dfs. Lower values will result in fuse_dfs noticing changes to Kerberos ticket caches more quickly.,reliability,
dfs.namenode.metrics.logger.period.seconds,hdfs,This setting controls how frequently the NameNode logs its metrics. The logging configuration must also define one or more appenders for NameNodeMetricsLog for the metrics to be logged. NameNode metrics logging is disabled if this value is set to zero or less than zero.,debuggability,
dfs.datanode.metrics.logger.period.seconds,hdfs,This setting controls how frequently the DataNode logs its metrics. The logging configuration must also define one or more appenders for DataNodeMetricsLog for the metrics to be logged. DataNode metrics logging is disabled if this value is set to zero or less than zero.,debuggability,
dfs.client.write.max-packets-in-flight,hdfs,The maximum number of DFSPackets allowed in flight.,reliability,
dfs.datanode.peer.stats.enabled,hdfs,A switch to turn on/off tracking DataNode peer statistics.,manageability,
dfs.datanode.outliers.report.interval,hdfs,This setting controls how frequently DataNodes will report their peer latencies to the NameNode via heartbeats. This setting supports multiple time unit suffixes as described in dfs.heartbeat.interval. If no suffix is specified then milliseconds is assumed. It is ignored if dfs.datanode.peer.stats.enabled is false.,others,
dfs.datanode.fileio.profiling.sampling.percentage,hdfs,This setting controls the percentage of file I/O events which will be profiled for DataNode disk statistics. The default value of 0 disables disk statistics. Set to an integer value between 1 and 100 to enable disk statistics.,performance,
hadoop.user.group.metrics.percentiles.intervals,hdfs,"A comma-separated list of the granularity in seconds for the metrics which describe the 50/75/90/95/99th percentile latency for group resolution in milliseconds. By default, percentile latency metrics are disabled.",manageability,
dfs.encrypt.data.transfer,hdfs,"Whether or not actual block data that is read/written from/to HDFS should be encrypted on the wire. This only needs to be set on the NN and DNs, clients will deduce this automatically. It is possible to override this setting per connection by specifying custom logic via dfs.trustedchannel.resolver.class.",security,
dfs.encrypt.data.transfer.algorithm,hdfs,"This value may be set to either ""3des"" or ""rc4"". If nothing is set, then the configured JCE default on the system is used (usually 3DES.) It is widely believed that 3DES is more cryptographically secure, but RC4 is substantially faster. Note that if AES is supported by both the client and server then this encryption algorithm will only be used to initially transfer keys for AES. (See dfs.encrypt.data.transfer.cipher.suites.)",security,
dfs.encrypt.data.transfer.cipher.suites,hdfs,"This value may be either undefined or AES/CTR/NoPadding. If defined, then dfs.encrypt.data.transfer uses the specified cipher suite for data encryption. If not defined, then only the algorithm specified in dfs.encrypt.data.transfer.algorithm is used. By default, the property is not defined.",security,
dfs.encrypt.data.transfer.cipher.key.bitlength,hdfs,"The key bitlength negotiated by dfsclient and datanode for encryption. This value may be set to either 128, 192 or 256.",security,
dfs.trustedchannel.resolver.class,hdfs,"TrustedChannelResolver is used to determine whether a channel is trusted for plain data transfer. The TrustedChannelResolver is invoked on both client and server side. If the resolver indicates that the channel is trusted, then the data transfer will not be encrypted even if dfs.encrypt.data.transfer is set to true. The default implementation returns false indicating that the channel is not trusted.",security,
dfs.data.transfer.protection,hdfs,"A comma-separated list of SASL protection values used for secured connections to the DataNode when reading or writing block data. Possible values are authentication, integrity and privacy. authentication means authentication only and no integrity or privacy; integrity implies authentication and integrity are enabled; and privacy implies all of authentication, integrity and privacy are enabled. If dfs.encrypt.data.transfer is set to true, then it supersedes the setting for dfs.data.transfer.protection and enforces that all connections must use a specialized encrypted SASL handshake. This property is ignored for connections to a DataNode listening on a privileged port. In this case, it is assumed that the use of a privileged port establishes sufficient trust.",security,
dfs.data.transfer.saslproperties.resolver.class,hdfs,"SaslPropertiesResolver used to resolve the QOP used for a connection to the DataNode when reading or writing block data. If not specified, the value of hadoop.security.saslproperties.resolver.class is used as the default value.",security,
dfs.datanode.hdfs-blocks-metadata.enabled,hdfs,Boolean which enables backend datanode-side support for the experimental DistributedFileSystem#getFileVBlockStorageLocations API.,performance,
dfs.client.file-block-storage-locations.num-threads,hdfs,Number of threads used for making parallel RPCs in DistributedFileSystem#getFileBlockStorageLocations().,performance,
dfs.client.file-block-storage-locations.timeout.millis,hdfs,Timeout (in milliseconds) for the parallel RPCs made in DistributedFileSystem#getFileBlockStorageLocations().,reliability,
dfs.journalnode.rpc-address,hdfs,The JournalNode RPC server address and port.,environment,
dfs.journalnode.rpc-bind-host,hdfs,"The actual address the RPC server will bind to. If this optional address is set, it overrides only the hostname portion of dfs.journalnode.rpc-address. This is useful for making the JournalNode listen on all interfaces by setting it to 0.0.0.0.",environment,
dfs.journalnode.http-address,hdfs,The address and port the JournalNode HTTP server listens on. If the port is 0 then the server will start on a free port.,environment,
dfs.journalnode.http-bind-host,hdfs,"The actual address the HTTP server will bind to. If this optional address is set, it overrides only the hostname portion of dfs.journalnode.http-address. This is useful for making the JournalNode HTTP server listen on allinterfaces by setting it to 0.0.0.0.",environment,
dfs.journalnode.https-address,hdfs,The address and port the JournalNode HTTPS server listens on. If the port is 0 then the server will start on a free port.,environment,
dfs.journalnode.https-bind-host,hdfs,"The actual address the HTTP server will bind to. If this optional address is set, it overrides only the hostname portion of dfs.journalnode.https-address. This is useful for making the JournalNode HTTP server listen on all interfaces by setting it to 0.0.0.0.",environment,
dfs.namenode.audit.loggers,hdfs,"List of classes implementing audit loggers that will receive audit events. These should be implementations of org.apache.hadoop.hdfs.server.namenode.AuditLogger. The special value ""default"" can be used to reference the default audit logger, which uses the configured log system. Installing custom audit loggers may affect the performance and stability of the NameNode. Refer to the custom logger's documentation for more details.",debuggability,
dfs.datanode.available-space-volume-choosing-policy.balanced-space-threshold,hdfs,"Only used when the dfs.datanode.fsdataset.volume.choosing.policy is set to org.apache.hadoop.hdfs.server.datanode.fsdataset.AvailableSpaceVolumeChoosingPolicy. This setting controls how much DN volumes are allowed to differ in terms of bytes of free disk space before they are considered imbalanced. If the free space of all the volumes are within this range of each other, the volumes will be considered balanced and block assignments will be done on a pure round robin basis.",performance,
dfs.datanode.available-space-volume-choosing-policy.balanced-space-preference-fraction,hdfs,"Only used when the dfs.datanode.fsdataset.volume.choosing.policy is set to org.apache.hadoop.hdfs.server.datanode.fsdataset.AvailableSpaceVolumeChoosingPolicy. This setting controls what percentage of new block allocations will be sent to volumes with more available disk space than others. This setting should be in the range 0.0 - 1.0, though in practice 0.5 - 1.0, since there should be no reason to prefer that volumes with less available disk space receive more block allocations.",performance,
dfs.namenode.edits.noeditlogchannelflush,hdfs,"Specifies whether to flush edit log file channel. When set, expensive FileChannel#force calls are skipped and synchronous disk writes are enabled instead by opening the edit log file with RandomAccessFile(""rws"") flags. This can significantly improve the performance of edit log writes on the Windows platform. Note that the behavior of the ""rws"" flags is platform and hardware specific and might not provide the same level of guarantees as FileChannel#force. For example, the write will skip the disk-cache on SAS and SCSI devices while it might not on SATA devices. This is an expert level setting, change with caution.",performance,
dfs.client.cache.drop.behind.writes,hdfs,"Just like dfs.datanode.drop.cache.behind.writes, this setting causes the page cache to be dropped behind HDFS writes, potentially freeing up more memory for other uses. Unlike dfs.datanode.drop.cache.behind.writes, this is a client-side setting rather than a setting for the entire datanode. If present, this setting will override the DataNode default. If the native libraries are not available to the DataNode, this configuration has no effect.",performance,
dfs.client.cache.drop.behind.reads,hdfs,"Just like dfs.datanode.drop.cache.behind.reads, this setting causes the page cache to be dropped behind HDFS reads, potentially freeing up more memory for other uses. Unlike dfs.datanode.drop.cache.behind.reads, this is a client-side setting rather than a setting for the entire datanode. If present, this setting will override the DataNode default. If the native libraries are not available to the DataNode, this configuration has no effect.",performance,
dfs.client.cache.readahead,hdfs,"When using remote reads, this setting causes the datanode to read ahead in the block file using posix_fadvise, potentially decreasing I/O wait times. Unlike dfs.datanode.readahead.bytes, this is a client-side setting rather than a setting for the entire datanode. If present, this setting will override the DataNode default. When using local reads, this setting determines how much readahead we do in BlockReaderLocal. If the native libraries are not available to the DataNode, this configuration has no effect.",performance,
dfs.client.server-defaults.validity.period.ms,hdfs,The amount of milliseconds after which cached server defaults are updated. By default this parameter is set to 1 hour.,reliability,
dfs.namenode.enable.retrycache,hdfs,"This enables the retry cache on the namenode. Namenode tracks for non-idempotent requests the corresponding response. If a client retries the request, the response from the retry cache is sent. Such operations are tagged with annotation @AtMostOnce in namenode protocols. It is recommended that this flag be set to true. Setting it to false, will result in clients getting failure responses to retried request. This flag must be enabled in HA setup for transparent fail-overs. The entries in the cache have expiration time configurable using dfs.namenode.retrycache.expirytime.millis.",reliability,
dfs.namenode.retrycache.expirytime.millis,hdfs,The time for which retry cache entries are retained.,reliability,
dfs.namenode.retrycache.heap.percent,hdfs,"This parameter configures the heap size allocated for retry cache (excluding the response cached). This corresponds to approximately 4096 entries for every 64MB of namenode process java heap size. Assuming retry cache entry expiration time (configured using dfs.namenode.retrycache.expirytime.millis) of 10 minutes, this enables retry cache to support 7 operations per second sustained for 10 minutes. As the heap size is increased, the operation rate linearly increases.",performance,
dfs.metrics.percentiles.intervals,hdfs,"Comma-delimited set of integers denoting the desired rollover intervals (in seconds) for percentile latency metrics on the Namenode and Datanode. By default, percentile latency metrics are disabled.",reliability,
dfs.client.mmap.cache.size,hdfs,"When zero-copy reads are used, the DFSClient keeps a cache of recently used memory mapped regions. This parameter controls the maximum number of entries that we will keep in that cache. The larger this number is, the more file descriptors we will potentially use for memory-mapped files. mmaped files also use virtual address space. You may need to increase your ulimit virtual address space limits before increasing the client mmap cache size. Note that you can still do zero-copy reads when this size is set to 0.",performance,
dfs.client.mmap.enabled,hdfs,"If this is set to false, the client won't attempt to perform memory-mapped reads.",performance,
dfs.client.mmap.retry.timeout.ms,hdfs,The minimum amount of time that we will wait before retrying a failed mmap operation.,reliability,
dfs.client.short.circuit.replica.stale.threshold.ms,hdfs,"The maximum amount of time that we will consider a short-circuit replica to be valid, if there is no communication from the DataNode. After this time has elapsed, we will re-fetch the short-circuit replica even if it is in the cache.",reliability,
dfs.namenode.path.based.cache.block.map.allocation.percent,hdfs,The percentage of the Java heap which we will allocate to the cached blocks map. The cached blocks map is a hash map which uses chained hashing. Smaller maps may be accessed more slowly if the number of cached blocks is large; larger maps will consume more memory.,performance,
dfs.datanode.max.locked.memory,hdfs,"The amount of memory in bytes to use for caching of block replicas in memory on the datanode. The datanode's maximum locked memory soft ulimit (RLIMIT_MEMLOCK) must be set to at least this value, else the datanode will abort on startup. By default, this parameter is set to 0, which disables in-memory caching. If the native libraries are not available to the DataNode, this configuration has no effect.",performance,
dfs.namenode.list.cache.directives.num.responses,hdfs,This value controls the number of cache directives that the NameNode will send over the wire in response to a listDirectives RPC.,performance,
dfs.namenode.list.cache.pools.num.responses,hdfs,This value controls the number of cache pools that the NameNode will send over the wire in response to a listPools RPC.,performance,
dfs.namenode.path.based.cache.refresh.interval.ms,hdfs,"The amount of milliseconds between subsequent path cache rescans. Path cache rescans are when we calculate which blocks should be cached, and on what datanodes. By default, this parameter is set to 30 seconds.",reliability,
dfs.namenode.path.based.cache.retry.interval.ms,hdfs,"When the NameNode needs to uncache something that is cached, or cache something that is not cached, it must direct the DataNodes to do so by sending a DNA_CACHE or DNA_UNCACHE command in response to a DataNode heartbeat. This parameter controls how frequently the NameNode will resend these commands.",reliability,
dfs.datanode.fsdatasetcache.max.threads.per.volume,hdfs,The maximum number of threads per volume to use for caching new data on the datanode. These threads consume both I/O and CPU. This can affect normal datanode operations.,performance,
dfs.cachereport.intervalMsec,hdfs,"Determines cache reporting interval in milliseconds. After this amount of time, the DataNode sends a full report of its cache state to the NameNode. The NameNode uses the cache report to update its map of cached blocks to DataNode locations. This configuration has no effect if in-memory caching has been disabled by setting dfs.datanode.max.locked.memory to 0 (which is the default). If the native libraries are not available to the DataNode, this configuration has no effect.",reliability,
dfs.namenode.edit.log.autoroll.multiplier.threshold,hdfs,"Determines when an active namenode will roll its own edit log. The actual threshold (in number of edits) is determined by multiplying this value by dfs.namenode.checkpoint.txns. This prevents extremely large edit files from accumulating on the active namenode, which can cause timeouts during namenode startup and pose an administrative hassle. This behavior is intended as a failsafe for when the standby or secondary namenode fail to roll the edit log by the normal checkpoint threshold.",reliability,
dfs.namenode.edit.log.autoroll.check.interval.ms,hdfs,"How often an active namenode will check if it needs to roll its edit log, in milliseconds.",reliability,
dfs.webhdfs.user.provider.user.pattern,hdfs,"Valid pattern for user and group names for webhdfs, it must be a valid java regex.",security,
dfs.webhdfs.acl.provider.permission.pattern,hdfs,"Valid pattern for user and group names in webhdfs acl operations, it must be a valid java regex.",security,
dfs.webhdfs.socket.connect-timeout,hdfs,"Socket timeout for connecting to WebHDFS servers. This prevents a WebHDFS client from hanging if the server hostname is misconfigured, or the server does not response before the timeout expires. Value is followed by a unit specifier: ns, us, ms, s, m, h, d for nanoseconds, microseconds, milliseconds, seconds, minutes, hours, days respectively. Values should provide units, but milliseconds are assumed.",reliability,
dfs.webhdfs.socket.read-timeout,hdfs,"Socket timeout for reading data from WebHDFS servers. This prevents a WebHDFS client from hanging if the server stops sending data. Value is followed by a unit specifier: ns, us, ms, s, m, h, d for nanoseconds, microseconds, milliseconds, seconds, minutes, hours, days respectively. Values should provide units, but milliseconds are assumed.",reliability,
dfs.client.context,hdfs,"The name of the DFSClient context that we should use. Clients that share a context share a socket cache and short-circuit cache, among other things. You should only change this if you don't want to share with another set of threads.",others,
dfs.client.read.shortcircuit,hdfs,This configuration parameter turns on short-circuit local reads.,performance,
dfs.client.socket.send.buffer.size,hdfs,"Socket send buffer size for a write pipeline in DFSClient side. This may affect TCP connection throughput. If it is set to zero or negative value, no buffer size will be set explicitly, thus enable tcp auto-tuning on some system. The default value is 0.",performance,
dfs.domain.socket.path,hdfs,"Optional. This is a path to a UNIX domain socket that will be used for communication between the DataNode and local HDFS clients. If the string ""_PORT"" is present in this path, it will be replaced by the TCP port of the DataNode.",environment,
dfs.client.read.shortcircuit.skip.checksum,hdfs,"If this configuration parameter is set, short-circuit local reads will skip checksums. This is normally not recommended, but it may be useful for special setups. You might consider using this if you are doing your own checksumming outside of HDFS.",reliability,
dfs.client.read.shortcircuit.streams.cache.size,hdfs,"The DFSClient maintains a cache of recently opened file descriptors. This parameter controls the maximum number of file descriptors in the cache. Setting this higher will use more file descriptors, but potentially provide better performance on workloads involving lots of seeks.",performance,
dfs.client.read.shortcircuit.streams.cache.expiry.ms,hdfs,This controls the minimum amount of time file descriptors need to sit in the client cache context before they can be closed for being inactive for too long.,reliability,
dfs.datanode.shared.file.descriptor.paths,hdfs,Comma separated paths to the directory on which shared memory segments are created. The client and the DataNode exchange information via this shared memory segment. It tries paths in order until creation of shared memory segment succeeds.,environment,
dfs.namenode.audit.log.debug.cmdlist,hdfs,A comma separated list of NameNode commands that are written to the HDFS namenode audit log only if the audit log level is debug.,debuggability,
dfs.client.mmap.cache.timeout.ms,hdfs,"The minimum length of time that we will keep an mmap entry in the cache between uses. If an entry is in the cache longer than this, and nobody uses it, it will be removed by a background thread.",performance,
dfs.block.local-path-access.user,hdfs,Comma separated list of the users allowed to open block files on legacy short-circuit local read.,security,
dfs.client.domain.socket.data.traffic,hdfs,This control whether we will try to pass normal data traffic over UNIX domain socket rather than over TCP socket on node-local data transfer. This is currently experimental and turned off by default.,manageability,
dfs.namenode.reject-unresolved-dn-topology-mapping,hdfs,"If the value is set to true, then namenode will reject datanode registration if the topology mapping for a datanode is not resolved and NULL is returned (script defined by net.topology.script.file.name fails to execute). Otherwise, datanode will be registered and the default rack will be assigned as the topology path. Topology paths are important for data resiliency, since they define fault domains. Thus it may be unwanted behavior to allow datanode registration with the default rack if the resolving topology failed.",security,
dfs.client.slow.io.warning.threshold.ms,hdfs,"The threshold in milliseconds at which we will log a slow io warning in a dfsclient. By default, this parameter is set to 30000 milliseconds (30 seconds).",debuggability,
dfs.datanode.slow.io.warning.threshold.ms,hdfs,"The threshold in milliseconds at which we will log a slow io warning in a datanode. By default, this parameter is set to 300 milliseconds.",debuggability,
dfs.namenode.xattrs.enabled,hdfs,Whether support for extended attributes is enabled on the NameNode.,manageability,
dfs.namenode.fs-limits.max-xattrs-per-inode,hdfs,Maximum number of extended attributes per inode.,others,
dfs.namenode.fs-limits.max-xattr-size,hdfs,"The maximum combined size of the name and value of an extended attribute in bytes. It should be larger than 0, and less than or equal to maximum size hard limit which is 32768.",reliability,
dfs.namenode.lease-recheck-interval-ms,hdfs,During the release of lease a lock is hold that make any operations on the namenode stuck. In order to not block them during a too long duration we stop releasing lease after this max lock limit.,reliability,
dfs.namenode.max-lock-hold-to-release-lease-ms,hdfs,During the release of lease a lock is hold that make any operations on the namenode stuck. In order to not block them during a too long duration we stop releasing lease after this max lock limit.,reliability,
dfs.namenode.write-lock-reporting-threshold-ms,hdfs,"When a write lock is held on the namenode for a long time, this will be logged as the lock is released. This sets how long the lock must be held for logging to occur.",debuggability,
dfs.namenode.read-lock-reporting-threshold-ms,hdfs,"When a read lock is held on the namenode for a long time, this will be logged as the lock is released. This sets how long the lock must be held for logging to occur.",debuggability,
dfs.namenode.lock.detailed-metrics.enabled,hdfs,"If true, the namenode will keep track of how long various operations hold the Namesystem lock for and emit this as metrics. These metrics have names of the form FSN(Read|Write)LockNanosOperationName, where OperationName denotes the name of the operation that initiated the lock hold (this will be OTHER for certain uncategorized operations) and they export the hold time values in nanoseconds.",debuggability,
dfs.namenode.fslock.fair,hdfs,"If this is true, the FS Namesystem lock will be used in Fair mode, which will help to prevent writer threads from being starved, but can provide lower lock throughput. See java.util.concurrent.locks.ReentrantReadWriteLock for more information on fair/non-fair locks.",performance,
dfs.namenode.startup.delay.block.deletion.sec,hdfs,"The delay in seconds at which we will pause the blocks deletion after Namenode startup. By default it's disabled. In the case a directory has large number of directories and files are deleted, suggested delay is one hour to give the administrator enough time to notice large number of pending deletion blocks and take corrective action.",reliability,
dfs.namenode.list.encryption.zones.num.responses,hdfs,"When listing encryption zones, the maximum number of zones that will be returned in a batch. Fetching the list incrementally in batches improves namenode performance.",performance,
dfs.namenode.list.openfiles.num.responses,hdfs,"When listing open files, the maximum number of open files that will be returned in a single batch. Fetching the list incrementally in batches improves namenode performance.",performance,
dfs.client.use.legacy.blockreader.local,hdfs,Legacy short-circuit reader implementation based on HDFS-2246 is used if this configuration parameter is true. This is for the platforms other than Linux where the new implementation based on HDFS-347 is not available.,performance,
dfs.namenode.edekcacheloader.interval.ms,hdfs,"When KeyProvider is configured, the interval time of warming up edek cache on NN starts up / becomes active. All edeks will be loaded from KMS into provider cache. The edek cache loader will try to warm up the cache until succeed or NN leaves active state.",security,
