name,default,description,label,software
url,ldap://localhost,URL(s) for connecting to the LDAP server. Multiple LDAP URLs may be  specified as a comma separated string. The first URL to successfully  bind is used for the connection.,environment,keystone
user,<None>,"The user name of the administrator bind DN to use when querying the LDAP server, if your LDAP server requires it.",others,keystone
password,<None>,"The password of the administrator bind DN to use when querying the LDAP server, if your LDAP server requires it.",security,keystone
suffix,"cn=example,cn=com","The default LDAP server suffix to use, if a DN is not defined via either [ldap] user_tree_dn or [ldap] group_tree_dn.",others,keystone
query_scope,one,"The search scope which defines how deep to search within the search base. A value of one (representing oneLevel or singleLevel) indicates a search of objects immediately below to the base object, but does not include the base object itself. A value of sub (representing subtree or wholeSubtree) indicates a search of both the base object itself and the entire subtree below it.",manageability,keystone
page_size,0,Defines the maximum number of results per page that keystone should  request from the LDAP server when listing objects. A value of zero (0) disables paging.,performance,keystone
alias_dereferencing,default,The LDAP dereferencing option to use for queries involving aliases. A value of default falls back to using default dereferencing behavior configured by your ldap.conf. A value of never prevents aliases from being dereferenced at all. A value of searching dereferences aliases only after name resolution. A value of finding dereferences aliases only during name resolution. A value of always dereferences aliases in all cases.,reliability,keystone
debug_level,<None>,"Sets the LDAP debugging level for LDAP calls. A value of 0 means that debugging is not enabled. This value is a bitmask, consult your LDAP  documentation for possible values.",debuggability,keystone
chase_referrals,<None>,"Sets keystone's referral chasing behavior across directory  partitions. If left unset, the system's default behavior will be used.",others,keystone
user_tree_dn,<None>,The search base to use for users. Defaults to the [ldap] suffix value.,others,keystone
user_filter,<None>,The LDAP search filter to use for users.,others,keystone
user_objectclass,inetOrgPerson,The LDAP object class to use for users.,others,keystone
user_id_attribute,cn,The LDAP attribute mapped to user IDs in keystone. This must NOT be a multivalued attribute. User IDs are expected to be globally unique  across keystone domains and URL-safe.,others,keystone
user_name_attribute,sn,The LDAP attribute mapped to user names in keystone. User names are  expected to be unique only within a keystone domain and are not expected to be URL-safe.,others,keystone
user_description_attribute,description,The LDAP attribute mapped to user descriptions in keystone.,others,keystone
user_mail_attribute,mail,The LDAP attribute mapped to user emails in keystone.,others,keystone
user_pass_attribute,userPassword,The LDAP attribute mapped to user passwords in keystone.,security,keystone
user_enabled_attribute,enabled,"The LDAP attribute mapped to the user enabled attribute in keystone. If setting this option to userAccountControl, then you may be interested in setting [ldap] user_enabled_mask and [ldap] user_enabled_default as well.",others,keystone
user_enabled_invert,FALSE,Logically negate the boolean value of the enabled attribute obtained  from the LDAP server. Some LDAP servers use a boolean lock attribute  where 'true' means an account is disabled. Setting [ldap] user_enabled_invert = true will allow these lock attributes to be used. This option will have no effect if either the [ldap] user_enabled_mask or [ldap] user_enabled_emulation options are in use.,manageability,keystone
user_enabled_mask,0,Bitmask integer to select which bit indicates the enabled value if  the LDAP server represents 'enabled' as a bit on an integer rather than  as a discrete boolean. A value of 0 indicates that the mask is not used. If this is not set to 0 the typical value is 2. This is typically used when [ldap] user_enabled_attribute = userAccountControl. Setting this option causes keystone to ignore the value of [ldap] user_enabled_invert.,manageability,keystone
user_enabled_default,TRUE,"The default value to enable users. This should match an appropriate  integer value if the LDAP server uses non-boolean (bitmask) values to  indicate if a user is enabled or disabled. If this is not set to True, then the typical value is 512. This is typically used when [ldap] user_enabled_attribute = userAccountControl.",others,keystone
user_attribute_ignore,default_project_id,"List of user attributes to ignore on create and update, or whether a  specific user attribute should be filtered for list or show user.",others,keystone
user_default_project_id_attribute,<None>,The LDAP attribute mapped to a user's default_project_id in keystone. This is most commonly used when keystone has write access to LDAP.,others,keystone
user_enabled_emulation,FALSE,"If enabled, keystone uses an alternative method to determine if a  user is enabled or not by checking if they are a member of the group  defined by the [ldap] user_enabled_emulation_dn option. Enabling this option causes keystone to ignore the value of [ldap] user_enabled_invert.",others,keystone
user_enabled_emulation_dn,<None>,DN of the group entry to hold enabled users when using enabled emulation. Setting this option has no effect unless [ldap] user_enabled_emulation is also enabled.,performance,keystone
user_enabled_emulation_use_group_config,FALSE,Use the [ldap] group_member_attribute and [ldap] group_objectclass settings to determine membership in the emulated enabled group. Enabling this option has no effect unless [ldap] user_enabled_emulation is also enabled.,others,keystone
user_additional_attribute_mapping,'',"A list of LDAP attribute to keystone user attribute pairs used for  mapping additional attributes to users in keystone. The expected format  is <ldap_attr>:<user_attr>, where ldap_attr is the attribute in the LDAP object and user_attr is the attribute which should appear in the identity API.",manageability,keystone
group_tree_dn,<None>,The search base to use for groups. Defaults to the [ldap] suffix value.,others,keystone
group_filter,<None>,The LDAP search filter to use for groups.,manageability,keystone
group_objectclass,groupOfNames,"The LDAP object class to use for groups. If setting this option to posixGroup, you may also be interested in enabling the [ldap] group_members_are_ids option.",others,keystone
group_id_attribute,cn,The LDAP attribute mapped to group IDs in keystone. This must NOT be a multivalued attribute. Group IDs are expected to be globally unique  across keystone domains and URL-safe.,others,keystone
group_name_attribute,ou,The LDAP attribute mapped to group names in keystone. Group names are expected to be unique only within a keystone domain and are not  expected to be URL-safe.,others,keystone
group_member_attribute,member,The LDAP attribute used to indicate that a user is a member of the group.,others,keystone
group_members_are_ids,FALSE,Enable this option if the members of the group object class are  keystone user IDs rather than LDAP DNs. This is the case when using posixGroup as the group object class in Open Directory.,others,keystone
group_desc_attribute,description,The LDAP attribute mapped to group descriptions in keystone.,others,keystone
group_attribute_ignore,'',List of group attributes to ignore on create and update. or whether a specific group attribute should be filtered for list or show group.,manageability,keystone
group_additional_attribute_mapping,'',"A list of LDAP attribute to keystone group attribute pairs used for  mapping additional attributes to groups in keystone. The expected format is <ldap_attr>:<group_attr>, where ldap_attr is the attribute in the LDAP object and group_attr is the attribute which should appear in the identity API.",manageability,keystone
group_ad_nesting,FALSE,"If enabled, group queries will use Active Directory specific filters for nested groups.",security,keystone
tls_cacertfile,<None>,"An absolute path to a CA certificate file to use when communicating with LDAP servers. This option will take precedence over [ldap] tls_cacertdir, so there is no reason to set both.",environment,keystone
tls_cacertdir,<None>,An absolute path to a CA certificate directory to use when  communicating with LDAP servers. There is no reason to set this option  if you've also set [ldap] tls_cacertfile.,environment,keystone
use_tls,FALSE,Enable TLS when communicating with LDAP servers. You should also set the [ldap] tls_cacertfile and [ldap] tls_cacertdir options when using this option. Do not set this option if you are using LDAP over SSL (LDAPS) instead of TLS.,security,keystone
tls_req_cert,demand,"Specifies which checks to perform against client certificates on incoming TLS sessions. If set to demand, then a certificate will always be requested and required from the LDAP server. If set to allow, then a certificate will always be requested but not required from the LDAP server. If set to never, then a certificate will never be requested.",security,keystone
connection_timeout,-1,The connection timeout to use with the LDAP server. A value of -1 means that connections will never timeout.,reliability,keystone
use_pool,TRUE,Enable LDAP connection pooling for queries to the LDAP server. There is typically no reason to disable this.,performance,keystone
pool_size,10,The size of the LDAP connection pool. This option has no effect unless [ldap] use_pool is also enabled.,performance,keystone
pool_retry_max,3,The maximum number of times to attempt reconnecting to the LDAP  server before aborting. A value of zero prevents retries. This option  has no effect unless [ldap] use_pool is also enabled.,reliability,keystone
pool_retry_delay,0.1,The number of seconds to wait before attempting to reconnect to the LDAP server. This option has no effect unless [ldap] use_pool is also enabled.,reliability,keystone
pool_connection_timeout,-1,The connection timeout to use when pooling LDAP connections. A value of -1 means that connections will never timeout. This option has no effect unless [ldap] use_pool is also enabled.,reliability,keystone
pool_connection_lifetime,600,"The maximum connection lifetime to the LDAP server in seconds. When  this lifetime is exceeded, the connection will be unbound and removed  from the connection pool. This option has no effect unless [ldap] use_pool is also enabled.",reliability,keystone
use_auth_pool,TRUE,Enable LDAP connection pooling for end user authentication. There is typically no reason to disable this.,security,keystone
auth_pool_size,100,The size of the connection pool to use for end user authentication. This option has no effect unless [ldap] use_auth_pool is also enabled.,security,keystone
auth_pool_connection_lifetime,60,"The maximum end user authentication connection lifetime to the LDAP  server in seconds. When this lifetime is exceeded, the connection will  be unbound and removed from the connection pool. This option has no  effect unless [ldap] use_auth_pool is also enabled.",security,keystone
dead_retry,300,Number of seconds memcached server is considered dead before it is tried again. This is used by the key value store system.,reliability,keystone
socket_timeout,3,Timeout in seconds for every call to a server. This is used by the key value store system.,reliability,keystone
pool_maxsize,10,Max total number of open connections to every memcached server. This is used by the key value store system.,performance,keystone
pool_unused_timeout,60,Number of seconds a connection to memcached is held unused in the  pool before it is closed. This is used by the key value store system.,reliability,keystone
pool_connection_get_timeout,10,Number of seconds that an operation will wait to get a memcache client connection. This is used by the key value store system.,reliability,keystone
driver,sql,"Entry point for the OAuth backend driver in the keystone.oauth1 namespace. Typically, there is no reason to set this option unless you are providing a custom entry point.",environment,keystone
request_token_duration,28800,Number of seconds for the OAuth Request Token to remain valid after  being created. This is the amount of time the user has to authorize the  token. Setting this option to zero means that request tokens will last  forever.,reliability,keystone
access_token_duration,86400,Number of seconds for the OAuth Access Token to remain valid after  being created. This is the amount of time the consumer has to interact  with the service provider (which is typically keystone). Setting this  option to zero means that access tokens will last forever.,reliability,keystone
container_name,<None>,Name for the AMQP container. must be globally unique. Defaults to a generated UUID,others,keystone
idle_timeout,0,Timeout for inactive connections (in seconds),reliability,keystone
trace,FALSE,Debug: dump AMQP frames to stdout,debuggability,keystone
ssl,FALSE,"Attempt to connect via SSL. If no other ssl-related parameters are  given, it will use the system's CA-bundle to verify the server's  certificate.",security,keystone
ssl_ca_file,'',CA certificate PEM file used to verify the server's certificate,security,keystone
ssl_cert_file,'',Self-identifying certificate PEM file for client authentication,security,keystone
ssl_key_file,'',Private key PEM file used to sign ssl_cert_file certificate (optional),security,keystone
ssl_key_password,<None>,Password for decrypting ssl_key_file (if encrypted),security,keystone
ssl_verify_vhost,FALSE,"By default SSL checks that the name in the server's certificate  matches the hostname in the transport_url. In some configurations it may be preferable to use the virtual hostname instead, for example if the  server uses the Server Name Indication TLS extension (rfc6066) to  provide a certificate per virtual host. Set ssl_verify_vhost to True if  the server's SSL certificate uses the virtual host name instead of the  DNS name.",security,keystone
sasl_mechanisms,'',Space separated list of acceptable SASL mechanisms,security,keystone
sasl_config_dir,'',Path to directory that contains the SASL configuration,environment,keystone
sasl_config_name,'',Name of configuration file (without .conf suffix),security,keystone
sasl_default_realm,'',SASL realm to use if no realm present in username,security,keystone
connection_retry_interval,1,Seconds to pause before attempting to re-connect.,reliability,keystone
connection_retry_backoff,2,Increase the connection_retry_interval by this many seconds after each unsuccessful failover attempt.,reliability,keystone
connection_retry_interval_max,30,Maximum limit for connection_retry_interval + connection_retry_backoff,reliability,keystone
link_retry_delay,10,Time to pause between re-connecting an AMQP 1.0 link that failed due to a recoverable error.,reliability,keystone
default_reply_retry,0,The maximum number of attempts to re-send a reply message which failed due to a recoverable error.,reliability,keystone
default_reply_timeout,30,The deadline for an rpc reply message delivery.,reliability,keystone
default_send_timeout,30,The deadline for an rpc cast or call message delivery. Only used when caller does not provide a timeout expiry.,reliability,keystone
default_notify_timeout,30,The deadline for a sent notification message delivery. Only used when caller does not provide a timeout expiry.,reliability,keystone
default_sender_link_timeout,600,The duration to schedule a purge of idle sender links. Detach link after expiry.,reliability,keystone
addressing_mode,dynamic,Indicates the addressing mode used by the driver. Permitted values: 'legacy'   - use legacy non-routable addressing 'routable' - use routable addresses 'dynamic'  - use legacy addresses if the message bus does not support routing otherwise use routable addressing,security,keystone
pseudo_vhost,TRUE,"Enable virtual host support for those message buses that do not  natively support virtual hosting (such as qpidd). When set to true the  virtual host name will be added to all message bus addresses,  effectively creating a private 'subnet' per virtual host. Set to False  if the message bus supports virtual hosting using the 'hostname' field  in the AMQP 1.0 Open performative as the name of the virtual host.",security,keystone
server_request_prefix,exclusive,address prefix used when sending to a specific server,others,keystone
broadcast_prefix,broadcast,address prefix used when broadcasting to all servers,environment,keystone
group_request_prefix,unicast,address prefix when sending to any server in group,others,keystone
rpc_address_prefix,openstack.org/om/rpc,Address prefix for all generated RPC addresses,others,keystone
notify_address_prefix,openstack.org/om/notify,Address prefix for all generated Notification addresses,others,keystone
multicast_address,multicast,Appended to the address prefix when sending a fanout message. Used by the message bus to identify fanout messages.,environment,keystone
unicast_address,unicast,Appended to the address prefix when sending to a particular  RPC/Notification server. Used by the message bus to identify messages  sent to a single destination.,environment,keystone
anycast_address,anycast,Appended to the address prefix when sending to a group of consumers.  Used by the message bus to identify messages that should be delivered in a round-robin fashion across consumers.,environment,keystone
default_notification_exchange,<None>,Exchange name used in notification addresses. Exchange name resolution precedence: Target.exchange if set else default_notification_exchange if set else control_exchange if set else 'notify',others,keystone
default_rpc_exchange,<None>,Exchange name used in RPC addresses. Exchange name resolution precedence: Target.exchange if set else default_rpc_exchange if set else control_exchange if set else 'rpc',others,keystone
reply_link_credit,200,Window size for incoming RPC Reply messages.,performance,keystone
rpc_server_credit,100,Window size for incoming RPC Request messages,performance,keystone
notify_server_credit,100,Window size for incoming Notification messages,performance,keystone
pre_settled,rpc-cast,Send messages of this type pre-settled. Pre-settled messages will not receive acknowledgement from the peer. Note well: pre-settled messages may be silently discarded if the delivery fails. Permitted values: 'rpc-call' - send RPC Calls pre-settled 'rpc-reply'- send RPC Replies pre-settled 'rpc-cast' - Send RPC Casts pre-settled 'notify'   - Send Notifications pre-settled,others,keystone
kafka_max_fetch_bytes,1048576,Max fetch bytes of Kafka consumer,performance,keystone
kafka_consumer_timeout,1,Default timeout(s) for Kafka consumers,reliability,keystone
pool_size,10,Pool Size for Kafka Consumers,performance,keystone
conn_pool_min_size,2,The pool size limit for connections expiration policy,performance,keystone
conn_pool_ttl,1200,The time-to-live in sec of idle connections in the pool,reliability,keystone
consumer_group,oslo_messaging_consumer,Group id for Kafka consumer. Consumers in one group will coordinate message consumption,manageability,keystone
producer_batch_timeout,0,Upper bound on the delay for KafkaProducer batching in seconds,reliability,keystone
producer_batch_size,16384,Size of batch for the producer async send,performance,keystone
enable_auto_commit,FALSE,Enable asynchronous consumer commits,reliability,keystone
max_poll_records,500,The maximum number of records returned in a poll call,performance,keystone
security_protocol,PLAINTEXT,Protocol used to communicate with brokers,security,keystone
sasl_mechanism,PLAIN,Mechanism when security protocol is SASL,security,keystone
ssl_cafile,'',CA certificate PEM file used to verify the server certificate,security,keystone
driver,'',"The Drivers(s) to handle sending notifications. Possible values are messaging, messagingv2, routing, log, test, noop",environment,keystone
transport_url,<None>,"A URL representing the messaging driver to use for notifications. If  not set, we fall back to the same configuration used for RPC.",environment,keystone
topics,notifications,AMQP topic used for OpenStack notifications.,manageability,keystone
retry,-1,"The maximum number of attempts to re-send a notification message  which failed to be delivered due to a recoverable error. 0 - No retry,  -1 - indefinite",reliability,keystone
amqp_durable_queues,FALSE,Use durable queues in AMQP.,performance,keystone
amqp_auto_delete,FALSE,Auto-delete queues in AMQP.,performance,keystone
ssl,FALSE,Connect over SSL.,security,keystone
ssl_version,'',"SSL version to use (valid only if SSL enabled). Valid values are  TLSv1 and SSLv23. SSLv2, SSLv3, TLSv1_1, and TLSv1_2 may be available on some distributions.",security,keystone
ssl_key_file,'',SSL key file (valid only if SSL enabled).,security,keystone
ssl_cert_file,'',SSL cert file (valid only if SSL enabled).,security,keystone
ssl_ca_file,'',SSL certification authority file (valid only if SSL enabled).,security,keystone
kombu_reconnect_delay,1,How long to wait before reconnecting in response to an AMQP consumer cancel notification.,reliability,keystone
kombu_compression,<None>,"EXPERIMENTAL: Possible values are: gzip, bz2. If not set compression  will not be used. This option may not be available in future versions.",performance,keystone
kombu_missing_consumer_retry_timeout,60,How long to wait a missing client before abandoning to send it its  replies. This value should not be longer than rpc_response_timeout.,reliability,keystone
kombu_failover_strategy,round-robin,Determines how the next RabbitMQ node is chosen in case the one we  are currently connected to becomes unavailable. Takes effect only if  more than one RabbitMQ node is provided in config.,reliability,keystone
rabbit_login_method,AMQPLAIN,The RabbitMQ login method.,others,keystone
rabbit_retry_interval,1,How frequently to retry connecting with RabbitMQ.,reliability,keystone
rabbit_retry_backoff,2,How long to backoff for between retries when connecting to RabbitMQ.,reliability,keystone
rabbit_interval_max,30,Maximum interval of RabbitMQ connection retries. Default is 30 seconds.,reliability,keystone
rabbit_ha_queues,FALSE,"Try to use HA queues in RabbitMQ (x-ha-policy: all). If you change  this option, you must wipe the RabbitMQ database. In RabbitMQ 3.0, queue mirroring is no longer controlled by the x-ha-policy argument when  declaring a queue. If you just want to make sure that all queues (except those with auto-generated names) are mirrored across all nodes, run:  'rabbitmqctl set_policy HA '^(?!amq.).*' '{'ha-mode': 'all'}' '",others,keystone
rabbit_transient_queues_ttl,1800,Positive integer representing duration in seconds for queue TTL  (x-expires). Queues which are unused for the duration of the TTL are  automatically deleted. The parameter affects only reply and fanout  queues.,reliability,keystone
rabbit_qos_prefetch_count,0,Specifies the number of messages to prefetch. Setting to zero allows unlimited messages.,reliability,keystone
heartbeat_timeout_threshold,60,Number of seconds after which the Rabbit broker is considered down if heartbeat's keep-alive fails (0 disable the heartbeat). EXPERIMENTAL,reliability,keystone
heartbeat_rate,2,How often times during the heartbeat_timeout_threshold we check the heartbeat.,reliability,keystone
max_request_body_size,114688,"The maximum body size for each  request, in bytes.",performance,keystone
secure_proxy_ssl_header,X-Forwarded-Proto,"The HTTP Header that will be used to determine what the original  request protocol scheme was, even if it was hidden by a SSL termination  proxy.",security,keystone
enable_proxy_headers_parsing,FALSE,Whether the application is behind a proxy or not. This determines if the middleware should parse the headers or not.,manageability,keystone
enforce_scope,FALSE,"This option controls whether or not to enforce scope when evaluating policies. If True, the scope of the token used in the request is compared to the scope_types of the policy being enforced. If the scopes do not match, an InvalidScope exception will be raised. If False, a message will be logged informing operators that policies are being invoked with mismatching scope.",security,keystone
policy_file,policy.json,The file that defines policies.,manageability,keystone
policy_default_rule,default,Default rule. Enforced when a requested rule is not found.,security,keystone
policy_dirs,policy.d,"Directories where policy configuration files are stored. They can be  relative to any directory in the search path defined by the config_dir  option, or absolute paths. The file defined by policy_file must exist  for these directories to be searched.  Missing or empty directories are  ignored.",environment,keystone
remote_content_type,application/x-www-form-urlencoded,Content Type to send and receive data for REST based policy check,manageability,keystone
remote_ssl_verify_server_crt,FALSE,server identity verification for REST based policy check,security,keystone
remote_ssl_ca_crt_file,<None>,Absolute path to ca cert file for REST based policy check,environment,keystone
remote_ssl_client_crt_file,<None>,Absolute path to client cert for REST based policy check,environment,keystone
remote_ssl_client_key_file,<None>,Absolute path client key file REST based policy check,environment,keystone
driver,sql,"Entry point for the policy backend driver in the keystone.policy namespace. Supplied drivers are rules (which does not support any CRUD operations for the v3 policy API) and sql. Typically, there is no reason to set this option unless you are providing a custom entry point.",environment,keystone
list_limit,<None>,Maximum number of entities that will be returned in a policy collection.,performance,keystone
enabled,FALSE,Enable the profiling for all services on this node.,debuggability,keystone
trace_sqlalchemy,FALSE,Enable SQL requests profiling in services.,debuggability,keystone
hmac_keys,SECRET_KEY,Secret key(s) to use for encrypting context data for performance profiling.,security,keystone
connection_string,messaging://,Connection string for a notifier backend.,others,keystone
es_doc_type,notification,Document type for notification indexing in elasticsearch.,manageability,keystone
es_scroll_time,2m,"This parameter is a time value parameter (for example: es_scroll_time=2m), indicating for how long the nodes that participate in the search will maintain relevant resources in order to continue and support it.",reliability,keystone
es_scroll_size,10000,Elasticsearch splits large requests in batches. This parameter defines maximum size of each batch (for example: es_scroll_size=10000).,performance,keystone
socket_timeout,0.1,Redissentinel provides a timeout option on the connections. This parameter defines that timeout (for example: socket_timeout=0.1).,reliability,keystone
sentinel_service_name,mymaster,Redissentinel uses a service name to identify a master redis service. This parameter defines the name (for example: sentinal_service_name=mymaster).,environment,keystone
filter_error_trace,FALSE,Enable filter traces that contain error/exception to a separated place.,debuggability,keystone
expiration,300,"The amount of time that a receipt should remain valid (in seconds).  This value should always be very short, as it represents how long a user has to reattempt auth with the missing auth methods.",reliability,keystone
provider,fernet,"Entry point for the receipt provider in the keystone.receipt.provider namespace. The receipt provider controls the receipt construction and validation operations. Keystone includes just the fernet receipt provider for now. fernet receipts do not need to be persisted at all, but require that you run keystone-manage fernet_setup (also see the keystone-manage fernet_rotate command).",security,keystone
caching,TRUE,"Toggle for caching receipt creation and validation data. This has no  effect unless global caching is enabled, or if cache_on_issue is  disabled as we only cache receipts on issue.",performance,keystone
cache_time,300,The number of seconds to cache receipt creation and validation data. This has no effect unless both global and [receipt] caching are enabled.,performance,keystone
cache_on_issue,TRUE,Enable storing issued receipt data to receipt validation cache so  that first receipt validation doesn't actually cause full validation  cycle. This option has no effect unless global caching and receipt  caching are enabled.,performance,keystone
driver,sql,"Entry point for the resource driver in the keystone.resource namespace. Only a sql driver is supplied by keystone. Unless you are writing proprietary drivers for keystone, you do not need to set this option.",environment,keystone
caching,TRUE,Toggle for resource caching. This has no effect unless global caching is enabled.,performance,keystone
cache_time,<None>,Time to cache resource data in seconds. This has no effect unless global caching is enabled.,performance,keystone
list_limit,<None>,Maximum number of entities that will be returned in a resource collection.,performance,keystone
admin_project_domain_name,<None>,"Name of the domain that owns the admin_project_name. If left unset, then there is no admin project. [resource] admin_project_name must also be set to use this option.",others,keystone
admin_project_name,<None>,"This is a special project which represents cloud-level administrator  privileges across services. Tokens scoped to this project will contain a true is_admin_project attribute to indicate to policy  systems that the role assignments on that specific project should apply  equally across every project. If left unset, then there is no admin  project, and thus no explicit means of cross-project role assignments. [resource] admin_project_domain_name must also be set to use this option.",others,keystone
project_name_url_safe,off,"This controls whether the names of projects are restricted from containing URL-reserved characters. If set to new, attempts to create or update a project with a URL-unsafe name will fail. If set to strict, attempts to scope a token with a URL-unsafe project name will fail,  thereby forcing all project names to be updated to be URL-safe.",security,keystone
domain_name_url_safe,off,"This controls whether the names of domains are restricted from containing URL-reserved characters. If set to new, attempts to create or update a domain with a URL-unsafe name will fail. If set to strict, attempts to scope a token with a URL-unsafe domain name will fail,  thereby forcing all domain names to be updated to be URL-safe.",security,keystone
driver,sql,"Entry point for the token revocation backend driver in the keystone.revoke namespace. Keystone only provides a sql driver, so there is no reason to set this option unless you are providing a custom entry point.",environment,keystone
expiration_buffer,1800,The number of seconds after a token has expired before a corresponding revocation event may be purged from the backend.,reliability,keystone
caching,TRUE,Toggle for revocation event caching. This has no effect unless global caching is enabled.,performance,keystone
cache_time,3600,Time to cache the revocation list and the revocation events (in seconds). This has no effect unless global and [revoke] caching are both enabled.,performance,keystone
driver,<None>,"Entry point for the role backend driver in the keystone.role namespace. Keystone only provides a sql driver, so there's no reason to change this unless you are providing a custom entry point.",environment,keystone
caching,TRUE,"Toggle for role caching. This has no effect unless global caching is  enabled. In a typical deployment, there is no reason to disable this.",performance,keystone
cache_time,<None>,"Time to cache role data, in seconds. This has no effect unless both global caching and [role] caching are enabled.",performance,keystone
list_limit,<None>,Maximum number of entities that will be returned in a role  collection. This may be useful to tune if you have a large number of  discrete roles in your deployment.,performance,keystone
assertion_expiration_time,3600,"Determines the lifetime for any SAML assertions generated by keystone, using NotOnOrAfter attributes.",reliability,keystone
xmlsec1_binary,xmlsec1,"Name of, or absolute path to, the binary to be used for XML signing. Although only the XML Security Library (xmlsec1) is supported, it may have a non-standard name or path on your system.  If keystone cannot find the binary itself, you may need to install the  appropriate package, use this option to specify an absolute path, or  adjust keystone's PATH environment variable.",environment,keystone
certfile,/etc/keystone/ssl/certs/signing_cert.pem,"Absolute path to the public certificate file to use for SAML signing. The value cannot contain a comma (,).",security,keystone
keyfile,/etc/keystone/ssl/private/signing_key.pem,"Absolute path to the private key file to use for SAML signing. The value cannot contain a comma (,).",environment,keystone
idp_entity_id,<None>,This is the unique entity identifier of the identity provider  (keystone) to use when generating SAML assertions. This value is  required to generate identity provider metadata and must be a URI (a URL is recommended). For example: https://keystone.example.com/v3/OS-FEDERATION/saml2/idp.,others,keystone
idp_sso_endpoint,<None>,This is the single sign-on (SSO) service location of the identity  provider which accepts HTTP POST requests. A value is required to  generate identity provider metadata. For example: https://keystone.example.com/v3/OS-FEDERATION/saml2/sso.,environment,keystone
idp_lang,en,This is the language used by the identity provider's organization.,others,keystone
idp_organization_name,SAML Identity Provider,This is the name of the identity provider's organization.,others,keystone
idp_organization_display_name,OpenStack SAML Identity Provider,This is the name of the identity provider's organization to be displayed.,others,keystone
idp_organization_url,https://example.com/,This is the URL of the identity provider's organization. The URL referenced here should be useful to humans.,environment,keystone
idp_contact_company,"Example, Inc.",This is the company name of the identity provider's contact person.,others,keystone
idp_contact_name,SAML Identity Provider Support,This is the given name of the identity provider's contact person.,others,keystone
idp_contact_surname,Support,This is the surname of the identity provider's contact person.,others,keystone
idp_contact_email,support@example.com,This is the email address of the identity provider's contact person.,environment,keystone
idp_contact_telephone,+1 800 555 0100,This is the telephone number of the identity provider's contact person.,environment,keystone
idp_contact_type,other,This is the type of contact that best describes the identity provider's contact person.,others,keystone
idp_metadata_path,/etc/keystone/saml2_idp_metadata.xml,Absolute path to the identity provider metadata file. This file should be generated with the keystone-manage saml_idp_metadata command. There is typically no reason to change this value.,environment,keystone
relay_state_prefix,ss:mem:,"The prefix of the RelayState SAML attribute to use when generating  enhanced client and proxy (ECP) assertions. In a typical deployment,  there is no reason to change this value.",security,keystone
disable_user_account_days_inactive,<None>,"The maximum number of days a user can go without authenticating  before being considered 'inactive' and automatically disabled (locked).  This feature is disabled by default; set any value to enable it. This  feature depends on the sql backend for the [identity] driver. When a user exceeds this threshold and is considered 'inactive', the user's enabled attribute in the HTTP API may not match the value of the user's enabled column in the user table.",reliability,keystone
lockout_failure_attempts,<None>,"The maximum number of times that a user can fail to authenticate  before the user account is locked for the number of seconds specified by [security_compliance] lockout_duration. This feature is disabled by default. If this feature is enabled and [security_compliance] lockout_duration is not set, then users may be locked out indefinitely until the user is explicitly enabled via the API. This feature depends on the sql backend for the [identity] driver.",security,keystone
lockout_duration,1800,The number of seconds a user account will be locked when the maximum number of failed authentication attempts (as specified by [security_compliance] lockout_failure_attempts) is exceeded. Setting this option will have no effect unless you also set [security_compliance] lockout_failure_attempts to a non-zero value. This feature depends on the sql backend for the [identity] driver.,reliability,keystone
password_expires_days,<None>,"The number of days for which a password will be considered valid  before requiring it to be changed. This feature is disabled by default.  If enabled, new password changes will have an expiration date, however  existing passwords would not be impacted. This feature depends on the sql backend for the [identity] driver.",reliability,keystone
unique_last_password_count,0,"This controls the number of previous user password iterations to keep in history, in order to enforce that newly created passwords are  unique. The total number which includes the new password should not be  greater or equal to this value. Setting the value to zero (the default)  disables this feature. Thus, to enable this feature, values must be  greater than 0. This feature depends on the sql backend for the [identity] driver.",security,keystone
minimum_password_age,0,"The number of days that a password must be used before the user can  change it. This prevents users from changing their passwords immediately in order to wipe out their password history and reuse an old password.  This feature does not prevent administrators from manually resetting  passwords. It is disabled by default and allows for immediate password  changes. This feature depends on the sql backend for the [identity] driver. Note: If [security_compliance] password_expires_days is set, then the value for this option should be less than the password_expires_days.",security,keystone
password_regex,<None>,"The regular expression used to validate password strength  requirements. By default, the regular expression will match any  password. The following is an example of a pattern which requires at  least 1 letter, 1 digit, and have a minimum length of 7 characters:  ^(?=.*d)(?=.*[a-zA-Z]).{7,}$ This feature depends on the sql backend for the [identity] driver.",security,keystone
password_regex_description,<None>,"Describe your password regular expression here in language for  humans. If a password fails to match the regular expression, the  contents of this configuration variable will be returned to users to  explain why their requested password was insufficient.",security,keystone
change_password_upon_first_use,FALSE,"Enabling this option requires users to change their password when the user is created, or upon administrative reset. Before accessing any  services, affected users will have to change their password. To ignore  this requirement for specific users, such as service users, set the options attribute ignore_change_password_upon_first_use to True for the desired user via the update user API. This feature is disabled by default. This feature is only applicable with the sql backend for the [identity] driver.",security,keystone
driver,sql,"Entry point for the shadow users backend driver in the keystone.identity.shadow_users namespace. This driver is used for persisting local user references to  externally-managed identities (via federation, LDAP, etc). Keystone only provides a sql driver, so there is no reason to change this option unless you are providing a custom entry point.",environment,keystone
