name,value,description,label,software
mapreduce.jobhistory.loadedjobs.cache.size,5,Size of the loaded job cache. This property is ignored if the property mapreduce.jobhistory.loadedtasks.cache.size is set to a positive value.,performance,mapreduce
mapreduce.jobhistory.loadedtasks.cache.size,,"Change the job history cache limit to be set in terms of total task count. If the total number of tasks loaded exceeds this value, then the job cache will be shrunk down until it is under this limit (minimum 1 job in cache). If this value is empty or nonpositive then the cache reverts to using the property mapreduce.jobhistory.loadedjobs.cache.size as a job cache size. Two recommendations for the mapreduce.jobhistory.loadedtasks.cache.size property: 1) For every 100k of cache size, set the heap size of the Job History Server to 1.2GB. For example, mapreduce.jobhistory.loadedtasks.cache.size=500000, heap size=6GB. 2) Make sure that the cache size is larger than the number of tasks required for the largest job run on the cluster. It might be a good idea to set the value slightly higher (say, 20%) in order to allow for job size growth.",performance,mapreduce
mapreduce.jobhistory.move.thread-count,3,The number of threads used to move files.,performance,mapreduce
mapreduce.jobhistory.admin.address,0.0.0.0:10033,The address of the History server admin interface.,environment,mapreduce
mapreduce.jobhistory.admin.acl,*,ACL of who can be admin of the History server.,security,mapreduce
mapreduce.jobhistory.recovery.enable,FALSE,Enable the history server to store server state and recover server state upon startup. If enabled then mapreduce.jobhistory.recovery.store.class must be specified.,reliability,mapreduce
mapreduce.jobhistory.recovery.store.class,org.apache.hadoop.mapreduce.v2.hs.HistoryServerFileSystemStateStoreService,The HistoryServerStateStoreService class to store history server state for recovery.,reliability,mapreduce
yarn.app.mapreduce.am.containerlauncher.threadpool-initial-size,10,The initial size of thread pool to launch containers in the app master.,performance,mapreduce
mapreduce.task.exit.timeout,60000,"The number of milliseconds before a task will be terminated if it stays in finishing state for too long. After a task attempt completes from TaskUmbilicalProtocol's point of view, it will be transitioned to finishing state. That will give a chance for the task to exit by itself.",reliability,mapreduce
mapreduce.task.exit.timeout.check-interval-ms,20000,The interval in milliseconds between which the MR framework checks if task attempts stay in finishing state for too long.,reliability,mapreduce
mapreduce.task.local-fs.write-limit.bytes,-1,"Limit on the byte written to the local file system by each task. This limit only applies to writes that go through the Hadoop filesystem APIs within the task process (i.e.: writes that will update the local filesystem's BYTES_WRITTEN counter). It does not cover other writes such as logging, sideband writes from subprocesses (e.g.: streaming jobs), etc. Negative values disable the limit. default is -1",reliability,mapreduce
mapreduce.jobhistory.webapp.rest-csrf.enabled,FALSE,Enable the CSRF filter for the job history web app,security,mapreduce
mapreduce.jobhistory.webapp.rest-csrf.custom-header,X-XSRF-Header,Optional parameter that indicates the custom header name to use for CSRF protection.,security,mapreduce
mapreduce.jobhistory.webapp.rest-csrf.methods-to-ignore,"GET,OPTIONS,HEAD",Optional parameter that indicates the list of HTTP methods that do not require CSRF protection,security,mapreduce
mapreduce.job.cache.limit.max-resources,0,"The maximum number of resources a map reduce job is allowed to submit for localization via files, libjars, archives, and jobjar command line arguments and through the distributed cache. If set to 0 the limit is ignored.",reliability,mapreduce
mapreduce.job.cache.limit.max-resources-mb,0,"The maximum size (in MB) a map reduce job is allowed to submit for localization via files, libjars, archives, and jobjar command line arguments and through the distributed cache. If set to 0 the limit is ignored.",reliability,mapreduce
mapreduce.job.cache.limit.max-single-resource-mb,0,"The maximum size (in MB) of a single resource a map reduce job is allow to submit for localization via files, libjars, archives, and jobjar command line arguments and through the distributed cache. If set to 0 the limit is ignored.",performance,mapreduce
mapreduce.jobhistory.webapp.xfs-filter.xframe-options,SAMEORIGIN,Value of the xframe-options,others,mapreduce
mapreduce.jobhistory.loadedjob.tasks.max,-1,The maximum number of tasks that a job can have so that the Job History Server will fully parse its associated job history file and load it into memory. A value of -1 (default) will allow all jobs to be loaded.,reliability,mapreduce
mapreduce.job.send-token-conf,,"This configuration is a regex expression. The list of configurations that match the regex expression will be sent to RM. RM will use these configurations for renewing tokens. This configuration is added for below scenario: User needs to run distcp jobs across two clusters, but the RM does not have necessary hdfs configurations to connect to the remote hdfs cluster. Hence, user relies on this config to send the configurations to RM and RM uses these configurations to renew tokens. For example the following regex expression indicates the minimum required configs for RM to connect to a remote hdfs cluster: dfs.nameservices|^dfs.namenode.rpc-address.*$|^dfs.ha.namenodes.*$|^dfs.client.failover.proxy.provider.*$|dfs.namenode.kerberos.principal",manageability,mapreduce
