name,default,description,label,software
service_name,<None>,The default service_name for endpoint URL discovery.,environment,ironic
service_type,image,The default service_type for endpoint URL discovery.,others,ironic
split_loggers,FALSE,Log requests to multiple loggers.,debuggability,ironic
swift_endpoint_url,<None>,"The 'endpoint' (scheme, hostname, optional port) for the Swift URL of the form 'endpoint_url/api_version/account/container/object_id'. Do not include trailing '/'. For example, use 'https://swift.example.com'. If using RADOS Gateway, endpoint may also contain /swift path; if it  does not, it will be appended. Used for temporary URLs, will be fetched  from the service catalog, if not provided.",environment,ironic
swift_store_multiple_containers_seed,0,"This should match a config by the same name in the Glance  configuration file. When set to 0, a single-tenant store will only use  one container to store all images. When set to an integer value between 1 and 32, a single-tenant store will use multiple containers to store  images, and this value will determine how many containers are created.",manageability,ironic
swift_temp_url_cache_enabled,FALSE,Whether to cache generated Swift temporary URLs. Setting it to true  is only useful when an image caching proxy is used. Defaults to False.,performance,ironic
swift_temp_url_duration,1200,"The length of time in seconds that the temporary URL will be valid  for. Defaults to 20 minutes. If some deploys get a 401 response code  when trying to download from the temporary URL, try raising this  duration. This value must be greater than or equal to the value for  swift_temp_url_expected_download_start_delay",reliability,ironic
swift_temp_url_expected_download_start_delay,0,This is the delay (in seconds) from the time of the deploy request  (when the Swift temporary URL is generated) to when the IPA ramdisk  starts up and URL is used for the image download. This value is used to  check if the Swift temporary URL duration is large enough to let the  image download begin. Also if temporary URL caching is enabled this will determine if a cached entry will still be valid when the download  starts. swift_temp_url_duration value must be greater than or equal to  this option's value. Defaults to 0.,reliability,ironic
swift_temp_url_key,<None>,"The secret token given to Swift to allow temporary URL downloads.  Required for temporary URLs. For the Swift backend, the key on the  service project (as set in the [swift] section) is used by default.",security,ironic
system_scope,<None>,Scope for system operations,environment,ironic
tenant_id,<None>,Tenant ID,security,ironic
tenant_name,<None>,Tenant Name,environment,ironic
timeout,<None>,Timeout value for http requests,reliability,ironic
trust_id,<None>,Trust ID,security,ironic
user_domain_id,<None>,User's domain id,environment,ironic
user_domain_name,<None>,User's domain name,environment,ironic
user_id,<None>,User id,environment,ironic
username,<None>,Username,environment,ironic
valid_interfaces,"internal,public","List of interfaces, in order of preference, for endpoint URL.",environment,ironic
version,<None>,Minimum Major API version within a given Major API version for  endpoint URL discovery. Mutually exclusive with min_version and  max_version,environment,ironic
path,/healthcheck,The path to respond to healtcheck requests on.,environment,ironic
detailed,FALSE,Show more detailed information as part of the response. Security  note: Enabling this option may expose sensitive details about the  service being monitored. Be sure to verify that it will not violate your security policies.,security,ironic
disable_by_file_path,<None>,Check the presence of a file to determine if an application is running on a port. Used by DisableByFileHealthcheck plugin.,manageability,ironic
disable_by_file_paths,'',Check the presence of a file based on a port to determine if an  application is running on a port. Expects a 'port:path' list of strings. Used by DisableByFilesPortsHealthcheck plugin.,environment,ironic
client_timeout,60,Timeout (in seconds) for iLO operations,reliability,ironic
client_port,443,Port to be used for iLO operations,environment,ironic
swift_object_expiry_timeout,900,Amount of time in seconds for Swift objects to auto-expire.,reliability,ironic
use_web_server_for_images,FALSE,"Set this to True to use http web server to host floppy images and  generated boot ISO. This requires http_root and http_url to be  configured in the [deploy] section of the config file. If this is set to False, then Ironic will use Swift to host the floppy images and  generated boot_iso.",manageability,ironic
clean_priority_reset_secure_boot_keys_to_default,20,Priority for reset_secure_boot_keys clean step. This step will reset the secure boot keys to manufacturing defaults.,security,ironic
clean_priority_clear_secure_boot_keys,0,Priority for clear_secure_boot_keys clean step. This step is not  enabled by default. It can be enabled to clear all secure boot keys  enrolled with iLO.,security,ironic
clean_priority_reset_ilo_credential,30,Priority for reset_ilo_credential clean step. This step requires  'ilo_change_password' parameter to be updated in nodes's driver_info  with the new password.,security,ironic
power_retry,6,Number of times a power operation needs to be retried,reliability,ironic
power_wait,2,Amount of time in seconds to wait in between power operations,reliability,ironic
ca_file,<None>,CA certificate file to validate iLO.,security,ironic
default_boot_mode,auto,"Default boot mode to be used in provisioning when 'boot_mode'  capability is not provided in the 'properties/capabilities' of the node. The default is 'auto' for backward compatibility. When 'auto' is  specified, default boot mode will be selected based on boot mode  settings on the system.",manageability,ironic
auth_url,<None>,Authentication URL,security,ironic
auth_type,<None>,Authentication type to load,security,ironic
cafile,<None>,PEM encoded Certificate Authority to use when verifying HTTPs connections.,security,ironic
certfile,<None>,PEM encoded client certificate cert file,security,ironic
collect_timing,FALSE,Collect per-API call timing information.,debuggability,ironic
default_domain_id,<None>,Optional domain ID to use with v3 and v2 parameters. It will be used  for both the user and project domain in v3 and ignored in v2  authentication.,environment,ironic
default_domain_name,<None>,Optional domain name to use with v3 API and v2 parameters. It will be used for both the user and project domain in v3 and ignored in v2  authentication.,environment,ironic
domain_id,<None>,Domain ID to scope to,environment,ironic
domain_name,<None>,Domain name to scope to,environment,ironic
enabled,FALSE,This option has no affect since the classic drivers removal.,others,ironic
endpoint_override,<None>,"Always use this endpoint URL for requests for this client. NOTE: The  unversioned endpoint should be specified here; to request a particular  API version, use the version, min-version, and/or max-version options.",environment,ironic
insecure,FALSE,Verify HTTPS connections.,security,ironic
keyfile,<None>,PEM encoded client certificate key file,environment,ironic
max_version,<None>,"The maximum major version of a given API, intended to be used as the  upper bound of a range with min_version. Mutually exclusive with  version.",environment,ironic
min_version,<None>,"The minimum major version of a given API, intended to be used as the  lower bound of a range with max_version. Mutually exclusive with  version. If min_version is given with no max_version it is as if max  version is 'latest'.",environment,ironic
password,<None>,User's password,security,ironic
project_domain_id,<None>,Domain ID containing project,environment,ironic
project_domain_name,<None>,Domain name containing project,environment,ironic
project_id,<None>,Project ID to scope to,environment,ironic
project_name,<None>,Project name to scope to,environment,ironic
region_name,<None>,The default region_name for endpoint URL discovery.,environment,ironic
service_name,<None>,The default service_name for endpoint URL discovery.,environment,ironic
service_type,baremetal-introspection,The default service_type for endpoint URL discovery.,others,ironic
service_url,<None>,"ironic-inspector HTTP endpoint. If this is not set, the service catalog will be used.",environment,ironic
split_loggers,FALSE,Log requests to multiple loggers.,debuggability,ironic
status_check_period,60,period (in seconds) to check status of nodes on inspection,reliability,ironic
system_scope,<None>,Scope for system operations,environment,ironic
tenant_id,<None>,Tenant ID,environment,ironic
tenant_name,<None>,Tenant Name,environment,ironic
timeout,<None>,Timeout value for http requests,reliability,ironic
trust_id,<None>,Trust ID,security,ironic
user_domain_id,<None>,User's domain id,environment,ironic
user_domain_name,<None>,User's domain name,environment,ironic
user_id,<None>,User id,environment,ironic
username,<None>,Username,environment,ironic
valid_interfaces,"internal,public","List of interfaces, in order of preference, for endpoint URL.",environment,ironic
version,<None>,Minimum Major API version within a given Major API version for  endpoint URL discovery. Mutually exclusive with min_version and  max_version,environment,ironic
command_retry_timeout,60,"Maximum time in seconds to retry retryable IPMI operations. (An  operation is retryable, for example, if the requested operation fails  because the BMC is busy.) Setting this too high can cause the sync power state periodic task to hang when there are slow or unresponsive BMCs.",reliability,ironic
min_command_interval,5,"Minimum time, in seconds, between IPMI operations sent to a server.  There is a risk with some hardware that setting this too low may cause  the BMC to crash. Recommended setting is 5 seconds.",reliability,ironic
kill_on_timeout,TRUE,Kill ipmitool process invoked by ironic to read node power state if ipmitool process does not exit after command_retry_timeout timeout expires. Recommended setting is True,reliability,ironic
disable_boot_timeout,TRUE,"Default timeout behavior whether ironic sends a raw IPMI command to  disable the 60 second timeout for booting. Setting this option to False  will NOT send that command, the default value is True. It may be  overridden by per-node 'ipmi_disable_boot_timeout' option in node's  'driver_info' field.",reliability,ironic
debug,FALSE,Enables all ipmi commands to be executed with an additional debugging output. This is a separate option as ipmitool can log a substantial  amount of misleading text when in this mode.,debuggability,ironic
remote_image_share_root,/remote_image_share_root,Ironic conductor node's 'NFS' or 'CIFS' root path,environment,ironic
remote_image_server,<None>,IP of remote image server,environment,ironic
remote_image_share_type,CIFS,Share type of virtual media,others,ironic
remote_image_share_name,share,share name of remote_image_server,others,ironic
remote_image_user_name,<None>,User name of remote_image_server,environment,ironic
remote_image_user_password,<None>,Password of remote_image_user_name,security,ironic
remote_image_user_domain,'',Domain name of remote_image_user_name,environment,ironic
port,443,Port to be used for iRMC operations,environment,ironic
auth_method,basic,Authentication method to be used for iRMC operations,security,ironic
client_timeout,60,Timeout (in seconds) for iRMC operations,reliability,ironic
sensor_method,ipmitool,Sensor data retrieval method.,others,ironic
snmp_version,v2c,SNMP protocol version,environment,ironic
snmp_port,161,SNMP port,environment,ironic
snmp_community,public,SNMP community. Required for versions 'v1' and 'v2c',others,ironic
snmp_security,<None>,SNMP security name. Required for version 'v3',security,ironic
fpga_ids,'',"List of vendor IDs and device IDs for CPU FPGA to inspect. List items are in format vendorID/deviceID and separated by commas. CPU inspection will use this value to find existence of CPU FPGA in a node. If this  option is not defined, then leave out CUSTOM_CPU_FPGA in node traits.  Sample fpga_ids value: 0x1000/0x0079,0x2100/0x0080",environment,ironic
query_raid_config_fgi_status_interval,300,Interval (in seconds) between periodic RAID status checks to  determine whether the asynchronous RAID configuration was successfully  finished or not. Foreground Initialization (FGI) will start 5 minutes  after creating virtual drives.,reliability,ironic
root_helper,sudo ironic-rootwrap /etc/ironic/rootwrap.conf,"Command that is prefixed to commands that are run as root. If not specified, no commands are run as root.",others,ironic
portal_port,3260,The port number on which the iSCSI portal listens for incoming connections.,environment,ironic
auth_strategy,<None>,Authentication strategy used by JSON RPC. Defaults to the global auth_strategy setting.,security,ironic
host_ip,::,The IP address or hostname on which JSON RPC will listen.,environment,ironic
port,8089,The port to use for JSON RPC,environment,ironic
use_ssl,FALSE,Whether to use TLS for JSON RPC,security,ironic
auth_url,<None>,Authentication URL,security,ironic
auth_type,<None>,Authentication type to load,security,ironic
cafile,<None>,PEM encoded Certificate Authority to use when verifying HTTPs connections.,security,ironic
certfile,<None>,PEM encoded client certificate cert file,security,ironic
collect_timing,FALSE,Collect per-API call timing information.,debuggability,ironic
default_domain_id,<None>,Optional domain ID to use with v3 and v2 parameters. It will be used  for both the user and project domain in v3 and ignored in v2  authentication.,environment,ironic
default_domain_name,<None>,Optional domain name to use with v3 API and v2 parameters. It will be used for both the user and project domain in v3 and ignored in v2  authentication.,environment,ironic
domain_id,<None>,Domain ID to scope to,environment,ironic
domain_name,<None>,Domain name to scope to,environment,ironic
insecure,FALSE,Verify HTTPS connections.,security,ironic
keyfile,<None>,PEM encoded client certificate key file,environment,ironic
password,<None>,User's password,security,ironic
project_domain_id,<None>,Domain ID containing project,environment,ironic
project_domain_name,<None>,Domain name containing project,environment,ironic
project_id,<None>,Project ID to scope to,environment,ironic
project_name,<None>,Project name to scope to,environment,ironic
split_loggers,FALSE,Log requests to multiple loggers.,debuggability,ironic
system_scope,<None>,Scope for system operations,environment,ironic
tenant_id,<None>,Tenant ID,environment,ironic
tenant_name,<None>,Tenant Name,environment,ironic
timeout,<None>,Timeout value for http requests,reliability,ironic
trust_id,<None>,Trust ID,security,ironic
user_domain_id,<None>,User's domain id,environment,ironic
user_domain_name,<None>,User's domain name,environment,ironic
user_id,<None>,User id,environment,ironic
username,<None>,Username,environment,ironic
www_authenticate_uri,<None>,"Complete 'public' Identity API endpoint. This endpoint should not be  an 'admin' endpoint, as it should be accessible by all end users.  Unauthenticated clients are redirected to this endpoint to authenticate. Although this endpoint should ideally be unversioned, client support in the wild varies. If you're using a versioned v2 endpoint here, then  this should not be the same endpoint the service user utilizes  for validating tokens, because normal end users may not be able to reach that endpoint.",security,ironic
auth_uri,<None>,"Complete 'public' Identity API endpoint. This endpoint should not be  an 'admin' endpoint, as it should be accessible by all end users.  Unauthenticated clients are redirected to this endpoint to authenticate. Although this endpoint should ideally be unversioned, client support in the wild varies. If you're using a versioned v2 endpoint here, then  this should not be the same endpoint the service user utilizes  for validating tokens, because normal end users may not be able to reach that endpoint. This option is deprecated in favor of  www_authenticate_uri and will be removed in the S release.",security,ironic
auth_version,<None>,API version of the admin Identity API endpoint.,environment,ironic
delay_auth_decision,FALSE,"Do not handle authorization requests within the middleware, but  delegate the authorization decision to downstream WSGI components.",security,ironic
http_connect_timeout,<None>,Request timeout value for communicating with Identity API server.,reliability,ironic
http_request_max_retries,3,How many times are we trying to reconnect when communicating with Identity API Server.,reliability,ironic
cache,<None>,"Request environment key where the Swift cache object is stored. When  auth_token middleware is deployed with a Swift cache, use this option to have the middleware share a caching backend with swift. Otherwise, use  the memcached_servers option instead.",performance,ironic
certfile,<None>,Required if identity server requires client certificate,security,ironic
keyfile,<None>,Required if identity server requires client certificate,environment,ironic
cafile,<None>,A PEM encoded Certificate Authority to use when verifying HTTPs connections. Defaults to system CAs.,security,ironic
insecure,FALSE,Verify HTTPS connections.,security,ironic
region_name,<None>,The region in which the identity server can be found.,environment,ironic
signing_dir,<None>,Directory used to cache files related to PKI tokens. This option has  been deprecated in the Ocata release and will be removed in the P  release.,environment,ironic
memcache_security_strategy,None,"(Optional) If defined, indicate whether token data should be  authenticated or authenticated and encrypted. If MAC, token data is  authenticated (with HMAC) in the cache. If ENCRYPT, token data is  encrypted and authenticated in the cache. If the value is not one of  these options or empty, auth_token will raise an exception on  initialization.",security,ironic
memcache_secret_key,<None>,"(Optional, mandatory if memcache_security_strategy is defined) This string is used for key derivation.",security,ironic
memcache_pool_dead_retry,300,(Optional) Number of seconds memcached server is considered dead before it is tried again.,reliability,ironic
memcache_pool_maxsize,10,(Optional) Maximum total number of open connections to every memcached server.,performance,ironic
memcache_pool_socket_timeout,3,(Optional) Socket timeout in seconds for communicating with a memcached server.,reliability,ironic
memcache_pool_unused_timeout,60,(Optional) Number of seconds a connection to memcached is held unused in the pool before it is closed.,reliability,ironic
memcache_pool_conn_get_timeout,10,(Optional) Number of seconds that an operation will wait to get a memcached client connection from the pool.,reliability,ironic
memcache_use_advanced_pool,FALSE,(Optional) Use the advanced (eventlet safe) memcached client pool. The advanced pool will only work under python 2.x.,security,ironic
include_service_catalog,TRUE,"(Optional) Indicate whether to set the X-Service-Catalog header. If  False, middleware will not ask for service catalog on token validation  and will not set the X-Service-Catalog header.",manageability,ironic
enforce_token_bind,permissive,Used to control the use and type of token binding. Can be set to:  'disabled' to not check token binding. 'permissive' (default) to  validate binding information if the bind type is of a form known to the  server and ignore it if not. 'strict' like 'permissive' but if the bind  type is unknown the token will be rejected. 'required' any form of token binding is needed to be allowed. Finally the name of a binding method  that must be present in tokens.,security,ironic
hash_algorithms,md5,"Hash algorithms to use for hashing PKI tokens. This may be a single  algorithm or multiple. The algorithms are those supported by Python  standard hashlib.new(). The hashes will be tried in the order given, so  put the preferred one first for performance. The result of the first  hash will be stored in the cache. This will typically be set to multiple values only while migrating from a less secure algorithm to a more  secure one. Once all the old tokens are expired this option should be  set to a single value for better performance.",performance,ironic
service_token_roles_required,FALSE,For backwards compatibility reasons we must let valid service tokens  pass that don't pass the service_token_roles check as valid. Setting  this true will become the default in a future release and should be  enabled if possible.,others,ironic
auth_type,<None>,Authentication type to load,security,ironic
auth_section,<None>,Config Section from which to load plugin specific options,environment,ironic
prepend_host_reverse,TRUE,Split the prepended host value by '.' and reverse it (to better match the reverse hierarchical form of domain names).,manageability,ironic
agent_backend,noop,Backend for the agent ramdisk to use for metrics. Default possible backends are 'noop' and 'statsd'.,environment,ironic
agent_prepend_host,FALSE,Prepend the hostname to all metric names sent by the agent ramdisk.  The format of metric names is  [global_prefix.][uuid.][host_name.]prefix.metric_name.,others,ironic
agent_prepend_uuid,FALSE,Prepend the node's Ironic uuid to all metric names sent by the agent  ramdisk. The format of metric names is  [global_prefix.][uuid.][host_name.]prefix.metric_name.,manageability,ironic
agent_prepend_host_reverse,TRUE,Split the prepended host value by '.' and reverse it for metrics sent by the agent ramdisk (to better match the reverse hierarchical form of  domain names).,manageability,ironic
agent_global_prefix,<None>,Prefix all metric names sent by the agent ramdisk with this value.  The format of metric names is  [global_prefix.][uuid.][host_name.]prefix.metric_name.,others,ironic
statsd_host,localhost,Host for use with the statsd backend.,environment,ironic
statsd_port,8125,Port to use with the statsd backend.,environment,ironic
agent_statsd_host,localhost,Host for the agent ramdisk to use with the statsd backend. This must be accessible from networks the agent is booted on.,environment,ironic
agent_statsd_port,8125,Port for the agent ramdisk to use with the statsd backend.,environment,ironic
auth_url,<None>,Authentication URL,security,ironic
auth_strategy,keystone,Authentication strategy to use when connecting to neutron. Running  neutron in noauth mode (related to but not affected by this setting) is  insecure and should only be used for testing.,security,ironic
auth_type,<None>,Authentication type to load,security,ironic
cafile,<None>,PEM encoded Certificate Authority to use when verifying HTTPs connections.,security,ironic
certfile,<None>,PEM encoded client certificate cert file,security,ironic
cleaning_network,<None>,"Neutron network UUID or name for the ramdisk to be booted into for  cleaning nodes. Required for 'neutron' network interface. It is also  required if cleaning nodes when using 'flat' network interface or  'neutron' DHCP provider. If a name is provided, it must be unique among  all networks or cleaning will fail.",environment,ironic
cleaning_network_security_groups,'',"List of Neutron Security Group UUIDs to be applied during cleaning of the nodes. Optional for the 'neutron' network interface and not used  for the 'flat' or 'noop' network interfaces. If not specified, default  security group is used.",security,ironic
collect_timing,FALSE,Collect per-API call timing information.,debuggability,ironic
default_domain_id,<None>,Optional domain ID to use with v3 and v2 parameters. It will be used  for both the user and project domain in v3 and ignored in v2  authentication.,environment,ironic
default_domain_name,<None>,Optional domain name to use with v3 API and v2 parameters. It will be used for both the user and project domain in v3 and ignored in v2  authentication.,environment,ironic
domain_id,<None>,Domain ID to scope to,environment,ironic
domain_name,<None>,Domain name to scope to,environment,ironic
endpoint_override,<None>,"Always use this endpoint URL for requests for this client. NOTE: The  unversioned endpoint should be specified here; to request a particular  API version, use the version, min-version, and/or max-version options.",environment,ironic
insecure,FALSE,Verify HTTPS connections.,security,ironic
keyfile,<None>,PEM encoded client certificate key file,environment,ironic
max_version,<None>,"The maximum major version of a given API, intended to be used as the  upper bound of a range with min_version. Mutually exclusive with  version.",environment,ironic
min_version,<None>,"The minimum major version of a given API, intended to be used as the  lower bound of a range with max_version. Mutually exclusive with  version. If min_version is given with no max_version it is as if max  version is 'latest'.",environment,ironic
password,<None>,User's password,security,ironic
port_setup_delay,0,Delay value to wait for Neutron agents to setup sufficient DHCP configuration for port.,reliability,ironic
project_domain_id,<None>,Domain ID containing project,environment,ironic
project_domain_name,<None>,Domain name containing project,environment,ironic
project_id,<None>,Project ID to scope to,environment,ironic
project_name,<None>,Project name to scope to,environment,ironic
provisioning_network,<None>,"Neutron network UUID or name for the ramdisk to be booted into for  provisioning nodes. Required for 'neutron' network interface. If a name  is provided, it must be unique among all networks or deploy will fail.",environment,ironic
provisioning_network_security_groups,'',"List of Neutron Security Group UUIDs to be applied during  provisioning of the nodes. Optional for the 'neutron' network interface  and not used for the 'flat' or 'noop' network interfaces. If not  specified, default security group is used.",security,ironic
region_name,<None>,The default region_name for endpoint URL discovery.,environment,ironic
rescuing_network_security_groups,'',"List of Neutron Security Group UUIDs to be applied during the node  rescue process. Optional for the 'neutron' network interface and not  used for the 'flat' or 'noop' network interfaces. If not specified, the  default security group is used.",security,ironic
retries,3,Client retries in the case of a failed request.,reliability,ironic
service_name,<None>,The default service_name for endpoint URL discovery.,environment,ironic
service_type,network,The default service_type for endpoint URL discovery.,others,ironic
split_loggers,FALSE,Log requests to multiple loggers.,debuggability,ironic
system_scope,<None>,Scope for system operations,environment,ironic
tenant_id,<None>,Tenant ID,environment,ironic
tenant_name,<None>,Tenant Name,environment,ironic
timeout,<None>,Timeout value for http requests,reliability,ironic
trust_id,<None>,Trust ID,security,ironic
url,<None>,"URL for connecting to neutron. Default value translates to 'http://$my_ip:9696' when auth_strategy is 'noauth', and to discovery from Keystone catalog when auth_strategy is 'keystone'.",environment,ironic
url_timeout,30,Timeout value for connecting to neutron in seconds.,reliability,ironic
user_domain_id,<None>,User's domain id,environment,ironic
user_domain_name,<None>,User's domain name,environment,ironic
user_id,<None>,User id,environment,ironic
username,<None>,Username,environment,ironic
valid_interfaces,"internal,public","List of interfaces, in order of preference, for endpoint URL.",environment,ironic
version,<None>,Minimum Major API version within a given Major API version for  endpoint URL discovery. Mutually exclusive with min_version and  max_version,environment,ironic
disable_process_locking,FALSE,Enables or disables inter-process locks.,security,ironic
lock_path,<None>,"Directory to use for lock files.  For security, the specified  directory should only be writable by the user running the processes that need locking. Defaults to environment variable OSLO_LOCK_PATH. If  external locks are used, a lock path must be set.",environment,ironic
container_name,<None>,Name for the AMQP container. must be globally unique. Defaults to a generated UUID,environment,ironic
idle_timeout,0,Timeout for inactive connections (in seconds),reliability,ironic
trace,FALSE,Debug: dump AMQP frames to stdout,debuggability,ironic
ssl,FALSE,"Attempt to connect via SSL. If no other ssl-related parameters are  given, it will use the system's CA-bundle to verify the server's  certificate.",security,ironic
ssl_ca_file,'',CA certificate PEM file used to verify the server's certificate,security,ironic
ssl_cert_file,'',Self-identifying certificate PEM file for client authentication,security,ironic
ssl_key_file,'',Private key PEM file used to sign ssl_cert_file certificate (optional),security,ironic
ssl_key_password,<None>,Password for decrypting ssl_key_file (if encrypted),security,ironic
ssl_verify_vhost,FALSE,"By default SSL checks that the name in the server's certificate  matches the hostname in the transport_url. In some configurations it may be preferable to use the virtual hostname instead, for example if the  server uses the Server Name Indication TLS extension (rfc6066) to  provide a certificate per virtual host. Set ssl_verify_vhost to True if  the server's SSL certificate uses the virtual host name instead of the  DNS name.",security,ironic
sasl_config_dir,'',Path to directory that contains the SASL configuration,environment,ironic
sasl_config_name,'',Name of configuration file (without .conf suffix),environment,ironic
sasl_default_realm,'',SASL realm to use if no realm present in username,security,ironic
connection_retry_interval,1,Seconds to pause before attempting to re-connect.,reliability,ironic
connection_retry_backoff,2,Increase the connection_retry_interval by this many seconds after each unsuccessful failover attempt.,reliability,ironic
connection_retry_interval_max,30,Maximum limit for connection_retry_interval + connection_retry_backoff,reliability,ironic
link_retry_delay,10,Time to pause between re-connecting an AMQP 1.0 link that failed due to a recoverable error.,reliability,ironic
default_reply_retry,0,The maximum number of attempts to re-send a reply message which failed due to a recoverable error.,reliability,ironic
default_reply_timeout,30,The deadline for an rpc reply message delivery.,reliability,ironic
default_send_timeout,30,The deadline for an rpc cast or call message delivery. Only used when caller does not provide a timeout expiry.,reliability,ironic
default_notify_timeout,30,The deadline for a sent notification message delivery. Only used when caller does not provide a timeout expiry.,reliability,ironic
default_sender_link_timeout,600,The duration to schedule a purge of idle sender links. Detach link after expiry.,reliability,ironic
addressing_mode,dynamic,Indicates the addressing mode used by the driver. Permitted values: 'legacy'   - use legacy non-routable addressing 'routable' - use routable addresses 'dynamic'  - use legacy addresses if the message bus does not support routing otherwise use routable addressing,security,ironic
pseudo_vhost,TRUE,"Enable virtual host support for those message buses that do not  natively support virtual hosting (such as qpidd). When set to true the  virtual host name will be added to all message bus addresses,  effectively creating a private 'subnet' per virtual host. Set to False  if the message bus supports virtual hosting using the 'hostname' field  in the AMQP 1.0 Open performative as the name of the virtual host.",security,ironic
broadcast_prefix,broadcast,address prefix used when broadcasting to all servers,others,ironic
group_request_prefix,unicast,address prefix when sending to any server in group,environment,ironic
rpc_address_prefix,openstack.org/om/rpc,Address prefix for all generated RPC addresses,environment,ironic
multicast_address,multicast,Appended to the address prefix when sending a fanout message. Used by the message bus to identify fanout messages.,environment,ironic
unicast_address,unicast,Appended to the address prefix when sending to a particular  RPC/Notification server. Used by the message bus to identify messages  sent to a single destination.,environment,ironic
anycast_address,anycast,Appended to the address prefix when sending to a group of consumers.  Used by the message bus to identify messages that should be delivered in a round-robin fashion across consumers.,environment,ironic
default_notification_exchange,<None>,Exchange name used in notification addresses. Exchange name resolution precedence: Target.exchange if set else default_notification_exchange if set else control_exchange if set else 'notify',manageability,ironic
default_rpc_exchange,<None>,Exchange name used in RPC addresses. Exchange name resolution precedence: Target.exchange if set else default_rpc_exchange if set else control_exchange if set else 'rpc',manageability,ironic
reply_link_credit,200,Window size for incoming RPC Reply messages.,performance,ironic
rpc_server_credit,100,Window size for incoming RPC Request messages,performance,ironic
notify_server_credit,100,Window size for incoming Notification messages,performance,ironic
pre_settled,rpc-cast,Send messages of this type pre-settled. Pre-settled messages will not receive acknowledgement from the peer. Note well: pre-settled messages may be silently discarded if the delivery fails. Permitted values: 'rpc-call' - send RPC Calls pre-settled 'rpc-reply'- send RPC Replies pre-settled 'rpc-cast' - Send RPC Casts pre-settled 'notify'   - Send Notifications pre-settled,others,ironic
kafka_max_fetch_bytes,1048576,Max fetch bytes of Kafka consumer,performance,ironic
kafka_consumer_timeout,1,Default timeout(s) for Kafka consumers,reliability,ironic
pool_size,10,Pool Size for Kafka Consumers,performance,ironic
conn_pool_min_size,2,The pool size limit for connections expiration policy,performance,ironic
conn_pool_ttl,1200,The time-to-live in sec of idle connections in the pool,reliability,ironic
producer_batch_timeout,0,Upper bound on the delay for KafkaProducer batching in seconds,reliability,ironic
producer_batch_size,16384,Size of batch for the producer async send,performance,ironic
security_protocol,PLAINTEXT,Protocol used to communicate with brokers,security,ironic
sasl_mechanism,PLAIN,Mechanism when security protocol is SASL,security,ironic
ssl_cafile,'',CA certificate PEM file used to verify the server certificate,security,ironic
transport_url,<None>,"A URL representing the messaging driver to use for notifications. If  not set, we fall back to the same configuration used for RPC.",environment,ironic
topics,notifications,AMQP topic used for OpenStack notifications.,manageability,ironic
retry,-1,"The maximum number of attempts to re-send a notification message  which failed to be delivered due to a recoverable error. 0 - No retry,  -1 - indefinite",reliability,ironic
amqp_durable_queues,FALSE,Use durable queues in AMQP.,manageability,ironic
amqp_auto_delete,FALSE,Auto-delete queues in AMQP.,manageability,ironic
ssl,FALSE,Connect over SSL.,security,ironic
ssl_version,'',"SSL version to use (valid only if SSL enabled). Valid values are  TLSv1 and SSLv23. SSLv2, SSLv3, TLSv1_1, and TLSv1_2 may be available on some distributions.",security,ironic
ssl_key_file,'',SSL key file (valid only if SSL enabled).,security,ironic
ssl_cert_file,'',SSL cert file (valid only if SSL enabled).,security,ironic
ssl_ca_file,'',SSL certification authority file (valid only if SSL enabled).,security,ironic
kombu_reconnect_delay,1,How long to wait before reconnecting in response to an AMQP consumer cancel notification.,reliability,ironic
kombu_missing_consumer_retry_timeout,60,How long to wait a missing client before abandoning to send it its  replies. This value should not be longer than rpc_response_timeout.,reliability,ironic
rabbit_login_method,AMQPLAIN,The RabbitMQ login method.,others,ironic
rabbit_retry_interval,1,How frequently to retry connecting with RabbitMQ.,reliability,ironic
rabbit_retry_backoff,2,How long to backoff for between retries when connecting to RabbitMQ.,reliability,ironic
rabbit_interval_max,30,Maximum interval of RabbitMQ connection retries. Default is 30 seconds.,reliability,ironic
rabbit_ha_queues,FALSE,"Try to use HA queues in RabbitMQ (x-ha-policy: all). If you change  this option, you must wipe the RabbitMQ database. In RabbitMQ 3.0, queue mirroring is no longer controlled by the x-ha-policy argument when  declaring a queue. If you just want to make sure that all queues (except those with auto-generated names) are mirrored across all nodes, run:  'rabbitmqctl set_policy HA '^(?!amq.).*' '{'ha-mode': 'all'}' '",environment,ironic
rabbit_transient_queues_ttl,1800,Positive integer representing duration in seconds for queue TTL  (x-expires). Queues which are unused for the duration of the TTL are  automatically deleted. The parameter affects only reply and fanout  queues.,reliability,ironic
heartbeat_timeout_threshold,60,Number of seconds after which the Rabbit broker is considered down if heartbeat's keep-alive fails (0 disable the heartbeat). EXPERIMENTAL,reliability,ironic
heartbeat_rate,2,How often times during the heartbeat_timeout_threshold we check the heartbeat.,reliability,ironic
policy_default_rule,default,Default rule. Enforced when a requested rule is not found.,manageability,ironic
policy_dirs,policy.d,"Directories where policy configuration files are stored. They can be  relative to any directory in the search path defined by the config_dir  option, or absolute paths. The file defined by policy_file must exist  for these directories to be searched.  Missing or empty directories are  ignored.",environment,ironic
remote_content_type,application/x-www-form-urlencoded,Content Type to send and receive data for REST based policy check,manageability,ironic
remote_ssl_verify_server_crt,FALSE,server identity verification for REST based policy check,security,ironic
