name,default,description,label
ssl_cafile,'',CA certificate PEM file used to verify the server certificate,security
driver,'',"The Drivers(s) to handle sending notifications. Possible values are messaging, messagingv2, routing, log, test, noop",environment
transport_url,<None>,"A URL representing the messaging driver to use for notifications. If  not set, we fall back to the same configuration used for RPC.",environment
topics,notifications,AMQP topic used for OpenStack notifications.,manageability
retry,-1,"The maximum number of attempts to re-send a notification message  which failed to be delivered due to a recoverable error. 0 - No retry,  -1 - indefinite",reliability
amqp_durable_queues,FALSE,Use durable queues in AMQP.,manageability
amqp_auto_delete,FALSE,Auto-delete queues in AMQP.,manageability
ssl,FALSE,Connect over SSL.,security
ssl_version,'',"SSL version to use (valid only if SSL enabled). Valid values are  TLSv1 and SSLv23. SSLv2, SSLv3, TLSv1_1, and TLSv1_2 may be available on some distributions.",security
ssl_key_file,'',SSL key file (valid only if SSL enabled).,security
ssl_cert_file,'',SSL cert file (valid only if SSL enabled).,security
ssl_ca_file,'',SSL certification authority file (valid only if SSL enabled).,security
kombu_reconnect_delay,1,How long to wait before reconnecting in response to an AMQP consumer cancel notification.,reliability
kombu_compression,<None>,"EXPERIMENTAL: Possible values are: gzip, bz2. If not set compression  will not be used. This option may not be available in future versions.",performance
kombu_missing_consumer_retry_timeout,60,How long to wait a missing client before abandoning to send it its  replies. This value should not be longer than rpc_response_timeout.,reliability
kombu_failover_strategy,round-robin,Determines how the next RabbitMQ node is chosen in case the one we  are currently connected to becomes unavailable. Takes effect only if  more than one RabbitMQ node is provided in config.,reliability
rabbit_login_method,AMQPLAIN,The RabbitMQ login method.,manageability
rabbit_retry_interval,1,How frequently to retry connecting with RabbitMQ.,reliability
rabbit_retry_backoff,2,How long to backoff for between retries when connecting to RabbitMQ.,reliability
rabbit_interval_max,30,Maximum interval of RabbitMQ connection retries. Default is 30 seconds.,reliability
rabbit_ha_queues,FALSE,"Try to use HA queues in RabbitMQ (x-ha-policy: all). If you change  this option, you must wipe the RabbitMQ database. In RabbitMQ 3.0, queue mirroring is no longer controlled by the x-ha-policy argument when  declaring a queue. If you just want to make sure that all queues (except those with auto-generated names) are mirrored across all nodes, run:  'rabbitmqctl set_policy HA '^(?!amq.).*' '{'ha-mode': 'all'}' '",manageability
rabbit_transient_queues_ttl,1800,Positive integer representing duration in seconds for queue TTL  (x-expires). Queues which are unused for the duration of the TTL are  automatically deleted. The parameter affects only reply and fanout  queues.,performance
rabbit_qos_prefetch_count,0,Specifies the number of messages to prefetch. Setting to zero allows unlimited messages.,performance
heartbeat_timeout_threshold,60,Number of seconds after which the Rabbit broker is considered down if heartbeat's keep-alive fails (0 disable the heartbeat). EXPERIMENTAL,reliability
heartbeat_rate,2,How often times during the heartbeat_timeout_threshold we check the heartbeat.,reliability
enable_proxy_headers_parsing,FALSE,Whether the application is behind a proxy or not. This determines if the middleware should parse the headers or not.,manageability
enforce_scope,FALSE,"This option controls whether or not to enforce scope when evaluating policies. If True, the scope of the token used in the request is compared to the scope_types of the policy being enforced. If the scopes do not match, an InvalidScope exception will be raised. If False, a message will be logged informing operators that policies are being invoked with mismatching scope.",manageability
policy_file,policy.json,The file that defines policies.,manageability
policy_default_rule,default,Default rule. Enforced when a requested rule is not found.,reliability
policy_dirs,policy.d,"Directories where policy configuration files are stored. They can be  relative to any directory in the search path defined by the config_dir  option, or absolute paths. The file defined by policy_file must exist  for these directories to be searched.  Missing or empty directories are  ignored.",environment
remote_content_type,application/x-www-form-urlencoded,Content Type to send and receive data for REST based policy check,manageability
remote_ssl_verify_server_crt,FALSE,server identity verification for REST based policy check,security
remote_ssl_ca_crt_file,<None>,Absolute path to ca cert file for REST based policy check,environment
remote_ssl_client_crt_file,<None>,Absolute path to client cert for REST based policy check,environment
remote_ssl_client_key_file,<None>,Absolute path client key file REST based policy check,environment
user,<None>,User that the privsep daemon should run as.,others
group,<None>,Group that the privsep daemon should run as.,manageability
capabilities,[],List of Linux capabilities retained by the privsep daemon.,others
thread_pool_size,8,The number of threads available for privsep to concurrently run processes. Defaults to the number of CPU cores in the system.,performance
helper_command,<None>,"Command to invoke to start the privsep daemon if not using the 'fork' method. If not specified, a default is generated using 'sudo  privsep-helper' and arguments designed to recreate the current  configuration. This command must accept suitable --privsep_context and  --privsep_sock_path arguments.",manageability
default_quota,-1,Default number of resource allowed per tenant. A negative value means unlimited.,reliability
quota_network,100,Number of networks allowed per tenant. A negative value means unlimited.,performance
quota_subnet,100,"Number of subnets allowed per tenant, A negative value means unlimited.",performance
quota_port,500,Number of ports allowed per tenant. A negative value means unlimited.,reliability
quota_driver,neutron.db.quota.driver.DbQuotaDriver,Default driver to use for quota checks.,manageability
track_quota_usage,TRUE,Keep in track in the database of current resource quota usage.  Plugins which do not leverage the neutron database should set this flag  to False.,debuggability
quota_router,10,Number of routers allowed per tenant. A negative value means unlimited.,reliability
quota_floatingip,50,Number of floating IPs allowed per tenant. A negative value means unlimited.,performance
quota_security_group,10,Number of security groups allowed per tenant. A negative value means unlimited.,reliability
quota_security_group_rule,100,Number of security rules allowed per tenant. A negative value means unlimited.,reliability
ca_file,<None>,CA certificate file to use to verify connecting clients.,security
cert_file,<None>,Certificate file to use when starting the server securely.,security
key_file,<None>,Private key file to use when starting the server securely.,security
version,<None>,"SSL version to use (valid only if SSL enabled). Valid values are  TLSv1 and SSLv23. SSLv2, SSLv3, TLSv1_1, and TLSv1_2 may be available on some distributions.",security
ciphers,<None>,Sets the list of available ciphers. value should be a string in the OpenSSL cipher list format.,manageability
