name,value,description,label,software
yarn.nodemanager.logaggregation.threadpool-size-max,100,Thread pool size for LogAggregationService in Node Manager.,performance,yarn
yarn.nodemanager.resource.percentage-physical-cpu-limit,100,Percentage of CPU that can be allocated for containers. This setting allows users to limit the amount of CPU that YARN containers use. Currently functional only on Linux using cgroups. The default is to use 100% of CPU.,performance,yarn
yarn.nodemanager.resource.detect-hardware-capabilities,FALSE,Enable auto-detection of node capabilities such as memory and CPU.,performance,yarn
yarn.nodemanager.webapp.address,${yarn.nodemanager.hostname}:8042,NM Webapp address.,environment,yarn
yarn.nodemanager.webapp.https.address,0.0.0.0:8044,The https adddress of the NM web application.,environment,yarn
yarn.nodemanager.webapp.spnego-keytab-file,,The Kerberos keytab file to be used for spnego filter for the NM web interface.,security,yarn
yarn.nodemanager.webapp.spnego-principal,,The Kerberos principal to be used for spnego filter for the NM web interface.,security,yarn
yarn.nodemanager.resource-monitor.interval-ms,3000,"How often to monitor the node and the containers. If 0 or negative, monitoring is disabled.",reliability,yarn
yarn.nodemanager.resource-calculator.class,,Class that calculates current resource utilization.,others,yarn
yarn.nodemanager.container-monitor.enabled,TRUE,Enable container monitor,manageability,yarn
yarn.nodemanager.container-monitor.interval-ms,,"How often to monitor containers. If not set, the value for yarn.nodemanager.resource-monitor.interval-ms will be used. If 0 or negative, container monitoring is disabled.",reliability,yarn
yarn.nodemanager.container-monitor.resource-calculator.class,,"Class that calculates containers current resource utilization. If not set, the value for yarn.nodemanager.resource-calculator.class will be used.",others,yarn
yarn.nodemanager.health-checker.interval-ms,600000,Frequency of running node health script.,reliability,yarn
yarn.nodemanager.health-checker.script.timeout-ms,1200000,Script time out period.,reliability,yarn
yarn.nodemanager.health-checker.script.path,,The health check script to run.,reliability,yarn
yarn.nodemanager.health-checker.script.opts,,The arguments to pass to the health check script.,reliability,yarn
yarn.nodemanager.disk-health-checker.interval-ms,120000,Frequency of running disk health checker code.,reliability,yarn
yarn.nodemanager.disk-health-checker.min-healthy-disks,0.25,"The minimum fraction of number of disks to be healthy for the nodemanager to launch new containers. This correspond to both yarn.nodemanager.local-dirs and yarn.nodemanager.log-dirs. i.e. If there are less number of healthy local-dirs (or log-dirs) available, then new containers will not be launched on this node.",reliability,yarn
yarn.nodemanager.disk-health-checker.max-disk-utilization-per-disk-percentage,90,"The maximum percentage of disk space utilization allowed after which a disk is marked as bad. Values can range from 0.0 to 100.0. If the value is greater than or equal to 100, the nodemanager will check for full disk. This applies to yarn.nodemanager.local-dirs and yarn.nodemanager.log-dirs.",reliability,yarn
yarn.nodemanager.disk-health-checker.disk-utilization-watermark-low-per-disk-percentage,,"The low threshold percentage of disk space used when a bad disk is marked as good. Values can range from 0.0 to 100.0. This applies to yarn.nodemanager.local-dirs and yarn.nodemanager.log-dirs. Note that if its value is more than yarn.nodemanager.disk-health-checker. max-disk-utilization-per-disk-percentage or not set, it will be set to the same value as yarn.nodemanager.disk-health-checker.max-disk-utilization-per-disk-percentage.",reliability,yarn
yarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb,0,The minimum space that must be available on a disk for it to be used. This applies to yarn.nodemanager.local-dirs and yarn.nodemanager.log-dirs.,reliability,yarn
yarn.nodemanager.linux-container-executor.path,,The path to the Linux container executor.,environment,yarn
yarn.nodemanager.linux-container-executor.resources-handler.class,org.apache.hadoop.yarn.server.nodemanager.util.DefaultLCEResourcesHandler,The class which should help the LCE handle resources.,others,yarn
yarn.nodemanager.linux-container-executor.cgroups.hierarchy,/hadoop-yarn,"The cgroups hierarchy under which to place YARN proccesses (cannot contain commas). If yarn.nodemanager.linux-container-executor.cgroups.mount is false (that is, if cgroups have been pre-configured) and the YARN user has write access to the parent directory, then the directory will be created. If the directory already exists, the administrator has to give YARN write permissions to it recursively. This property only applies when the LCE resources handler is set to CgroupsLCEResourcesHandler.",security,yarn
yarn.nodemanager.linux-container-executor.cgroups.mount,FALSE,Whether the LCE should attempt to mount cgroups if not found. This property only applies when the LCE resources handler is set to CgroupsLCEResourcesHandler.,reliability,yarn
yarn.nodemanager.linux-container-executor.cgroups.mount-path,,"This property sets the path from which YARN will read the CGroups configuration. YARN has built-in functionality to discover the system CGroup mount paths, so use this property only if YARN's automatic mount path discovery does not work. The path specified by this property must exist before the NodeManager is launched. If yarn.nodemanager.linux-container-executor.cgroups.mount is set to true, YARN will first try to mount the CGroups at the specified path before reading them. If yarn.nodemanager.linux-container-executor.cgroups.mount is set to false, YARN will read the CGroups at the specified path. If this property is empty, YARN tries to detect the CGroups location. Please refer to NodeManagerCgroups.html in the documentation for further details. This property only applies when the LCE resources handler is set to CgroupsLCEResourcesHandler.",environment,yarn
yarn.nodemanager.linux-container-executor.cgroups.delete-delay-ms,20,Delay in ms between attempts to remove linux cgroup,reliability,yarn
yarn.nodemanager.linux-container-executor.nonsecure-mode.limit-users,TRUE,"This determines which of the two modes that LCE should use on a non-secure cluster. If this value is set to true, then all containers will be launched as the user specified in yarn.nodemanager.linux-container-executor.nonsecure-mode.local-user. If this value is set to false, then containers will run as the user who submitted the application.",security,yarn
yarn.nodemanager.linux-container-executor.nonsecure-mode.local-user,nobody,The UNIX user that containers will run as when Linux-container-executor is used in nonsecure mode (a use case for this is using cgroups) if the yarn.nodemanager.linux-container-executor.nonsecure-mode.limit-users is set to true.,security,yarn
yarn.nodemanager.linux-container-executor.nonsecure-mode.user-pattern,"^[_.A-Za-z0-9][-@_.A-Za-z0-9]{0,255}?[$]?$",The allowed pattern for UNIX user names enforced by Linux-container-executor when used in nonsecure mode (use case for this is using cgroups). The default value is taken from /usr/sbin/adduser,security,yarn
yarn.nodemanager.linux-container-executor.cgroups.strict-resource-usage,FALSE,"This flag determines whether apps should run with strict resource limits or be allowed to consume spare resources if they need them. For example, turning the flag on will restrict apps to use only their share of CPU, even if the node has spare CPU cycles. The default value is false i.e. use available resources. Please note that turning this flag on may reduce job throughput on the cluster.",reliability,yarn
yarn.nodemanager.runtime.linux.allowed-runtimes,default,Comma separated list of runtimes that are allowed when using LinuxContainerExecutor. The allowed values are default and docker.,reliability,yarn
yarn.nodemanager.runtime.linux.docker.capabilities,"CHOWN,DAC_OVERRIDE,FSETID,FOWNER,MKNOD,NET_RAW,SETGID,SETUID,SETFCAP,SETPCAP,NET_BIND_SERVICE,SYS_CHROOT,KILL,AUDIT_WRITE","This configuration setting determines the capabilities assigned to docker containers when they are launched. While these may not be case-sensitive from a docker perspective, it is best to keep these uppercase. To run without any capabilites, set this value to ""none"" or ""NONE""",reliability,yarn
yarn.nodemanager.runtime.linux.docker.privileged-containers.allowed,FALSE,This configuration setting determines if privileged docker containers are allowed on this cluster. Use with extreme care.,security,yarn
yarn.nodemanager.runtime.linux.docker.privileged-containers.acl,,This configuration setting determines who is allowed to run privileged docker containers on this cluster. Use with extreme care.,security,yarn
yarn.nodemanager.runtime.linux.docker.allowed-container-networks,"host,none,bridge",The set of networks allowed when launching containers using the DockerContainerRuntime.,environment,yarn
yarn.nodemanager.runtime.linux.docker.default-container-network,host,The network used when launching containers using the DockerContainerRuntime when no network is specified in the request . This network must be one of the (configurable) set of allowed container networks.,environment,yarn
yarn.nodemanager.runtime.linux.docker.enable-userremapping.allowed,TRUE,Property to enable docker user remapping,manageability,yarn
yarn.nodemanager.runtime.linux.docker.userremapping-uid-threshold,1,lower limit for acceptable uids of user remapped user,others,yarn
yarn.nodemanager.runtime.linux.docker.userremapping-gid-threshold,1,lower limit for acceptable gids of user remapped user,others,yarn
yarn.nodemanager.windows-container.memory-limit.enabled,FALSE,This flag determines whether memory limit will be set for the Windows Job Object of the containers launched by the default container executor.,reliability,yarn
yarn.nodemanager.windows-container.cpu-limit.enabled,FALSE,This flag determines whether CPU limit will be set for the Windows Job Object of the containers launched by the default container executor.,reliability,yarn
yarn.nodemanager.linux-container-executor.cgroups.delete-timeout-ms,1000,Interval of time the linux container executor should try cleaning up cgroups entry when cleaning up a container.,reliability,yarn
yarn.nodemanager.log-aggregation.compression-type,none,T-file compression types used to compress aggregated logs.,performance,yarn
yarn.nodemanager.principal,,The kerberos principal for the node manager.,security,yarn
yarn.nodemanager.aux-services,,A comma separated list of services where service name should only contain a-zA-Z0-9_ and can not start with numbers,manageability,yarn
yarn.nodemanager.sleep-delay-before-sigkill.ms,250,No. of ms to wait between sending a SIGTERM and SIGKILL to a container,reliability,yarn
yarn.nodemanager.process-kill-wait.ms,2000,Max time to wait for a process to come up when trying to cleanup a container,reliability,yarn
yarn.nodemanager.resourcemanager.minimum.version,NONE,"The minimum allowed version of a resourcemanager that a nodemanager will connect to. The valid values are NONE (no version checking), EqualToNM (the resourcemanager's version is equal to or greater than the NM version), or a Version String.",environment,yarn
yarn.nodemanager.container-diagnostics-maximum-size,10000,Maximum size of contain's diagnostics to keep for relaunching container case.,reliability,yarn
yarn.nodemanager.container-retry-minimum-interval-ms,1000,Minimum container restart interval in milliseconds.,reliability,yarn
yarn.client.nodemanager-client-async.thread-pool-max-size,500,Max number of threads in NMClientAsync to process container management events,performance,yarn
yarn.client.nodemanager-connect.max-wait-ms,180000,Max time to wait to establish a connection to NM,reliability,yarn
yarn.client.nodemanager-connect.retry-interval-ms,10000,Time interval between each attempt to connect to NM,reliability,yarn
yarn.nodemanager.resourcemanager.connect.max-wait.ms,,"Max time to wait for NM to connect to RM. When not set, proxy will fall back to use value of yarn.resourcemanager.connect.max-wait.ms.",reliability,yarn
yarn.nodemanager.resourcemanager.connect.retry-interval.ms,,"Time interval between each NM attempt to connect to RM. When not set, proxy will fall back to use value of yarn.resourcemanager.connect.retry-interval.ms.",reliability,yarn
yarn.client.max-cached-nodemanagers-proxies,0,Maximum number of proxy connections to cache for node managers. If set to a value greater than zero then the cache is enabled and the NMClient and MRAppMaster will cache the specified number of node manager proxies. There will be at max one proxy per node manager. Ex. configuring it to a value of 5 will make sure that client will at max have 5 proxies cached with 5 different node managers. These connections for these proxies will be timed out if idle for more than the system wide idle timeout period. Note that this could cause issues on large clusters as many connections could linger simultaneously and lead to a large number of connection threads. The token used for authentication will be used only at connection creation time. If a new token is received then the earlier connection should be closed in order to use the new token. This and (yarn.client.nodemanager-client-async.thread-pool-max-size) are related and should be in sync (no need for them to be equal). If the value of this property is zero then the connection cache is disabled and connections will use a zero idle timeout to prevent too many connection threads on large clusters.,performance,yarn
yarn.nodemanager.recovery.enabled,FALSE,Enable the node manager to recover after starting,reliability,yarn
yarn.nodemanager.recovery.dir,${hadoop.tmp.dir}/yarn-nm-recovery,The local filesystem directory in which the node manager will store state when recovery is enabled.,environment,yarn
yarn.nodemanager.recovery.compaction-interval-secs,3600,The time in seconds between full compactions of the NM state database. Setting the interval to zero disables the full compaction cycles.,reliability,yarn
yarn.nodemanager.recovery.supervised,FALSE,Whether the nodemanager is running under supervision. A nodemanager that supports recovery and is running under supervision will not try to cleanup containers as it exits with the assumption it will be immediately be restarted and recover containers.,reliability,yarn
yarn.nodemanager.container-metrics.enable,TRUE,Flag to enable container metrics,manageability,yarn
yarn.nodemanager.container-metrics.period-ms,-1,Container metrics flush period in ms. Set to -1 for flush on completion.,reliability,yarn
yarn.nodemanager.container-metrics.unregister-delay-ms,10000,The delay time ms to unregister container metrics after completion.,reliability,yarn
yarn.nodemanager.container-monitor.process-tree.class,,Class used to calculate current container resource utilization.,others,yarn
yarn.nodemanager.disk-health-checker.enable,TRUE,Flag to enable NodeManager disk health checker,reliability,yarn
yarn.nodemanager.log.deletion-threads-count,4,Number of threads to use in NM log cleanup. Used when log aggregation is disabled.,performance,yarn
yarn.nodemanager.windows-secure-container-executor.group,,The Windows group that the windows-container-executor should run as.,others,yarn
yarn.nodemanager.docker-container-executor.exec-name,/usr/bin/docker,Name or path to the Docker client.,environment,yarn
yarn.nodemanager.docker-container-executor.image-name,,The Docker image name to use for DockerContainerExecutor,environment,yarn
yarn.web-proxy.principal,,"The kerberos principal for the proxy, if the proxy is not running as part of the RM.",security,yarn
yarn.web-proxy.address,,"The address for the web proxy as HOST:PORT, if this is not given then the proxy will run as part of the RM",environment,yarn
yarn.application.classpath,,"CLASSPATH for YARN applications. A comma-separated list of CLASSPATH entries. When this value is empty, the following default CLASSPATH for YARN applications would be used. ",environment,yarn
yarn.timeline-service.version,1.0f,"Indicate what is the current version of the running timeline service. For example, if ""yarn.timeline-service.version"" is 1.5, and ""yarn.timeline-service.enabled"" is true, it means the cluster will and should bring up the timeline service v.1.5 (and nothing else). On the client side, if the client uses the same version of timeline service, it should succeed. If the client chooses to use a smaller version in spite of this, then depending on how robust the compatibility story is between versions, the results may vary.",environment,yarn
yarn.timeline-service.enabled,FALSE,"In the server side it indicates whether timeline service is enabled or not. And in the client side, users can enable it to indicate whether client wants to use timeline service. If it's enabled in the client side along with security, then yarn client tries to fetch the delegation tokens for the timeline server.",manageability,yarn
yarn.timeline-service.hostname,0.0.0.0,The hostname of the timeline service web application.,environment,yarn
yarn.timeline-service.address,${yarn.timeline-service.hostname}:10200,This is default address for the timeline server to start the RPC server.,environment,yarn
yarn.timeline-service.webapp.address,${yarn.timeline-service.hostname}:8188,The http address of the timeline service web application.,environment,yarn
yarn.timeline-service.webapp.https.address,${yarn.timeline-service.hostname}:8190,The https address of the timeline service web application.,environment,yarn
yarn.timeline-service.bind-host,,"The actual address the server will bind to. If this optional address is set, the RPC and webapp servers will bind to this address and the port specified in yarn.timeline-service.address and yarn.timeline-service.webapp.address, respectively. This is most useful for making the service listen to all interfaces by setting to 0.0.0.0.",environment,yarn
yarn.timeline-service.generic-application-history.max-applications,10000,Defines the max number of applications could be fetched using REST API or application history protocol and shown in timeline server web ui.,reliability,yarn
yarn.timeline-service.store-class,org.apache.hadoop.yarn.server.timeline.LeveldbTimelineStore,Store class name for timeline store.,manageability,yarn
yarn.timeline-service.ttl-enable,TRUE,Enable age off of timeline store data.,manageability,yarn
yarn.timeline-service.ttl-ms,604800000,Time to live for timeline store data in milliseconds.,reliability,yarn
yarn.timeline-service.leveldb-timeline-store.path,${hadoop.tmp.dir}/yarn/timeline,Store file name for leveldb timeline store.,environment,yarn
yarn.timeline-service.leveldb-timeline-store.ttl-interval-ms,300000,Length of time to wait between deletion cycles of leveldb timeline store in milliseconds.,reliability,yarn
yarn.timeline-service.leveldb-timeline-store.read-cache-size,104857600,Size of read cache for uncompressed blocks for leveldb timeline store in bytes.,performance,yarn
yarn.timeline-service.leveldb-timeline-store.start-time-read-cache-size,10000,Size of cache for recently read entity start times for leveldb timeline store in number of entities.,performance,yarn
yarn.timeline-service.leveldb-timeline-store.start-time-write-cache-size,10000,Size of cache for recently written entity start times for leveldb timeline store in number of entities.,performance,yarn
yarn.timeline-service.handler-thread-count,10,Handler thread count to serve the client RPC requests.,performance,yarn
yarn.timeline-service.http-authentication.type,simple,Defines authentication used for the timeline server HTTP endpoint. Supported values are: simple | kerberos | #AUTHENTICATION_HANDLER_CLASSNAME#,security,yarn
yarn.timeline-service.http-authentication.simple.anonymous.allowed,TRUE,Indicates if anonymous requests are allowed by the timeline server when using 'simple' authentication.,security,yarn
yarn.timeline-service.principal,,The Kerberos principal for the timeline server.,security,yarn
yarn.timeline-service.keytab,/etc/krb5.keytab,The Kerberos keytab for the timeline server.,security,yarn
yarn.timeline-service.ui-names,,Comma separated list of UIs that will be hosted,manageability,yarn
yarn.timeline-service.client.max-retries,30,Default maximum number of retries for timeline service client and value -1 means no limit.,reliability,yarn
yarn.timeline-service.client.best-effort,FALSE,"Client policy for whether timeline operations are non-fatal. Should the failure to obtain a delegation token be considered an application failure (option = false), or should the client attempt to continue to publish information without it (option=true)",reliability,yarn
yarn.timeline-service.client.retry-interval-ms,1000,Default retry time interval for timeline servive client.,reliability,yarn
yarn.timeline-service.client.drain-entities.timeout.ms,2000,The time period for which timeline v2 client will wait for draining leftover entities after stop.,reliability,yarn
yarn.timeline-service.recovery.enabled,FALSE,"Enable timeline server to recover state after starting. If true, then yarn.timeline-service.state-store-class must be specified.",reliability,yarn
yarn.timeline-service.state-store-class,org.apache.hadoop.yarn.server.timeline.recovery.LeveldbTimelineStateStore,Store class name for timeline state store.,others,yarn
yarn.timeline-service.leveldb-state-store.path,${hadoop.tmp.dir}/yarn/timeline,Store file name for leveldb state store.,environment,yarn
yarn.timeline-service.entity-group-fs-store.active-dir,/tmp/entity-file-history/active,HDFS path to store active application's timeline data,environment,yarn
yarn.timeline-service.entity-group-fs-store.done-dir,/tmp/entity-file-history/done/,HDFS path to store done application's timeline data,environment,yarn
yarn.timeline-service.entity-group-fs-store.group-id-plugin-classes,,"Plugins that can translate a timeline entity read request into a list of timeline entity group ids, separated by commas.",environment,yarn
yarn.timeline-service.entity-group-fs-store.group-id-plugin-classpath,,Classpath for all plugins defined in yarn.timeline-service.entity-group-fs-store.group-id-plugin-classes.,environment,yarn
yarn.timeline-service.entity-group-fs-store.summary-store,org.apache.hadoop.yarn.server.timeline.LeveldbTimelineStore,Summary storage for ATS v1.5,others,yarn
yarn.timeline-service.entity-group-fs-store.scan-interval-seconds,60,Scan interval for ATS v1.5 entity group file system storage reader.This value controls how frequent the reader will scan the HDFS active directory for application status.,reliability,yarn
yarn.timeline-service.entity-group-fs-store.cleaner-interval-seconds,3600,Scan interval for ATS v1.5 entity group file system storage cleaner.This value controls how frequent the reader will scan the HDFS done directory for stale application data.,reliability,yarn
yarn.timeline-service.entity-group-fs-store.retain-seconds,604800,How long the ATS v1.5 entity group file system storage will keep an application's data in the done directory.,reliability,yarn
yarn.timeline-service.entity-group-fs-store.leveldb-cache-read-cache-size,10485760,Read cache size for the leveldb cache storage in ATS v1.5 plugin storage.,performance,yarn
yarn.timeline-service.entity-group-fs-store.app-cache-size,10,"Size of the reader cache for ATS v1.5 reader. This value controls how many entity groups the ATS v1.5 server should cache. If the number of active read entity groups is greater than the number of caches items, some reads may return empty data. This value must be greater than 0.",performance,yarn
yarn.timeline-service.client.fd-flush-interval-secs,10,Flush interval for ATS v1.5 writer. This value controls how frequent the writer will flush the HDFS FSStream for the entity/domain.,reliability,yarn
yarn.timeline-service.client.fd-clean-interval-secs,60,"Scan interval for ATS v1.5 writer. This value controls how frequent the writer will scan the HDFS FSStream for the entity/domain. If the FSStream is stale for a long time, this FSStream will be close.",reliability,yarn
yarn.timeline-service.client.fd-retain-secs,300,"How long the ATS v1.5 writer will keep an FSStream open. If this fsstream does not write anything for this configured time, it will be close.",reliability,yarn
yarn.timeline-service.client.internal-timers-ttl-secs,420,"How long the internal Timer Tasks can be alive in writer. If there is no write operation for this configured time, the internal timer tasks will be close.",reliability,yarn
yarn.timeline-service.writer.flush-interval-seconds,60,The setting that controls how often the timeline collector flushes the timeline writer.,reliability,yarn
yarn.timeline-service.app-collector.linger-period.ms,1000,"Time period till which the application collector will be alive in NM, after the application master container finishes.",reliability,yarn
yarn.timeline-service.timeline-client.number-of-async-entities-to-merge,10,Time line V2 client tries to merge these many number of async entities (if available) and then call the REST ATS V2 API to submit.,reliability,yarn
yarn.timeline-service.hbase.coprocessor.app-final-value-retention-milliseconds ,259200000,The setting that controls how long the final value of a metric of a completed app is retained before merging into the flow sum. Up to this time after an application is completed out-of-order values that arrive can be recognized and discarded at the cost of increased storage.,reliability,yarn
yarn.timeline-service.hbase.coprocessor.jar.hdfs.location ,/hbase/coprocessor/hadoop-yarn-server-timelineservice.jar,The default hdfs location for flowrun coprocessor jar.,environment,yarn
yarn.timeline-service.hbase-schema.prefix,prod.,"The value of this parameter sets the prefix for all tables that are part of timeline service in the hbase storage schema. It can be set to ""dev."" or ""staging."" if it is to be used for development or staging instances. This way the data in production tables stays in a separate set of tables prefixed by ""prod."".",manageability,yarn
yarn.timeline-service.hbase.configuration.file ,,"Optional URL to an hbase-site.xml configuration file to be used to connect to the timeline-service hbase cluster. If empty or not specified, then the HBase configuration will be loaded from the classpath. When specified the values in the specified configuration file will override those from the ones that are present on the classpath.",environment,yarn
yarn.sharedcache.enabled,FALSE,Whether the shared cache is enabled,manageability,yarn
yarn.sharedcache.root-dir,/sharedcache,The root directory for the shared cache,environment,yarn
yarn.sharedcache.nested-level,3,The level of nested directories before getting to the checksum directories. It must be non-negative.,manageability,yarn
yarn.sharedcache.store.in-memory.staleness-period-mins,10080,A resource in the in-memory store is considered stale if the time since the last reference exceeds the staleness period. This value is specified in minutes.,reliability,yarn
yarn.sharedcache.store.in-memory.initial-delay-mins,10,Initial delay before the in-memory store runs its first check to remove dead initial applications. Specified in minutes.,reliability,yarn
yarn.sharedcache.store.in-memory.check-period-mins,720,The frequency at which the in-memory store checks to remove dead initial applications. Specified in minutes.,reliability,yarn
yarn.sharedcache.admin.address,0.0.0.0:8047,The address of the admin interface in the SCM (shared cache manager),environment,yarn
yarn.sharedcache.admin.thread-count,1,The number of threads used to handle SCM admin interface (1 by default),performance,yarn
yarn.sharedcache.webapp.address,0.0.0.0:8788,The address of the web application in the SCM (shared cache manager),environment,yarn
yarn.sharedcache.cleaner.period-mins,1440,The frequency at which a cleaner task runs. Specified in minutes.,reliability,yarn
yarn.sharedcache.cleaner.initial-delay-mins,10,Initial delay before the first cleaner task is scheduled. Specified in minutes.,reliability,yarn
yarn.sharedcache.cleaner.resource-sleep-ms,0,The time to sleep between processing each shared cache resource. Specified in milliseconds.,reliability,yarn
yarn.sharedcache.uploader.server.address,0.0.0.0:8046,The address of the node manager interface in the SCM (shared cache manager),environment,yarn
yarn.sharedcache.uploader.server.thread-count,50,The number of threads used to handle shared cache manager requests from the node manager (50 by default),performance,yarn
yarn.sharedcache.client-server.address,0.0.0.0:8045,The address of the client interface in the SCM (shared cache manager),environment,yarn
yarn.sharedcache.client-server.thread-count,50,The number of threads used to handle shared cache manager requests from clients (50 by default),performance,yarn
yarn.sharedcache.checksum.algo.impl,org.apache.hadoop.yarn.sharedcache.ChecksumSHA256Impl,The algorithm used to compute checksums of files (SHA-256 by default),others,yarn
yarn.sharedcache.nm.uploader.thread-count,20,The number of threads used to upload files from a node manager instance (20 by default),performance,yarn
security.applicationhistory.protocol.acl,,ACL protocol for use in the Timeline server.,security,yarn
yarn.is.minicluster,FALSE,Set to true for MiniYARNCluster unit tests,manageability,yarn
yarn.minicluster.control-resource-monitoring,FALSE,Set for MiniYARNCluster unit tests to control resource monitoring,others,yarn
yarn.minicluster.fixed.ports,FALSE,Set to false in order to allow MiniYARNCluster to run tests without port conflicts.,environment,yarn
yarn.minicluster.use-rpc,FALSE,Set to false in order to allow the NodeManager in MiniYARNCluster to use RPC to talk to the RM.,manageability,yarn
yarn.minicluster.yarn.nodemanager.resource.memory-mb,4096,As yarn.nodemanager.resource.memory-mb property but for the NodeManager in a MiniYARNCluster.,performance,yarn
yarn.node-labels.enabled,FALSE,Enable node labels feature,manageability,yarn
yarn.node-labels.fs-store.retry-policy-spec,"2000, 500","Retry policy used for FileSystem node label store. The policy is specified by N pairs of sleep-time in milliseconds and number-of-retries ""s1,n1,s2,n2,..."".",reliability,yarn
yarn.node-labels.fs-store.root-dir,,URI for NodeLabelManager. The default value is /tmp/hadoop-yarn-${user}/node-labels/ in the local filesystem.,environment,yarn
yarn.node-labels.configuration-type,centralized,"Set configuration type for node labels. Administrators can specify ""centralized"", ""delegated-centralized"" or ""distributed"".",manageability,yarn
yarn.nodemanager.node-labels.provider.fetch-interval-ms,600000,"When ""yarn.nodemanager.node-labels.provider"" is configured with ""config"", ""Script"" or the configured class extends AbstractNodeLabelsProvider, then periodically node labels are retrieved from the node labels provider. This configuration is to define the interval period. If -1 is configured then node labels are retrieved from provider only during initialization. Defaults to 10 mins.",manageability,yarn
yarn.nodemanager.node-labels.resync-interval-ms,120000,"Interval at which NM syncs its node labels with RM. NM will send its loaded labels every x intervals configured, along with heartbeat to RM.",reliability,yarn
yarn.nodemanager.node-labels.provider.fetch-timeout-ms,1200000,"When ""yarn.nodemanager.node-labels.provider"" is configured with ""Script"" then this configuration provides the timeout period after which it will interrupt the script which queries the Node labels. Defaults to 20 mins.",reliability,yarn
yarn.resourcemanager.node-labels.provider.fetch-interval-ms,1800000,"When ""yarn.node-labels.configuration-type"" is configured with ""delegated-centralized"", then periodically node labels are retrieved from the node labels provider. This configuration is to define the interval. If -1 is configured then node labels are retrieved from provider only once for each node after it registers. Defaults to 30 mins.",reliability,yarn
yarn.resourcemanager.nodemanager-graceful-decommission-timeout-secs,3600,Timeout in seconds for YARN node graceful decommission. This is the maximal time to wait for running containers and applications to complete before transition a DECOMMISSIONING node into DECOMMISSIONED.,reliability,yarn
yarn.resourcemanager.decommissioning-nodes-watcher.poll-interval-secs,20,Timeout in seconds of DecommissioningNodesWatcher internal polling.,reliability,yarn
yarn.nodemanager.node-labels.provider.script.path,,"The Node Label script to run. Script output Line starting with ""NODE_PARTITION:"" will be considered as Node Label Partition. In case of multiple lines have this pattern, then last one will be considered",environment,yarn
yarn.nodemanager.node-labels.provider.script.opts,,The arguments to pass to the Node label script.,others,yarn
yarn.federation.enabled,FALSE,Flag to indicate whether the RM is participating in Federation or not.,manageability,yarn
yarn.federation.subcluster-resolver.class,org.apache.hadoop.yarn.server.federation.resolver.DefaultSubClusterResolverImpl,Class name for SubClusterResolver,others,yarn
yarn.federation.state-store.class,org.apache.hadoop.yarn.server.federation.store.impl.MemoryFederationStateStore,Store class name for federation state store,manageability,yarn
yarn.federation.cache-ttl.secs,300,The time in seconds after which the federation state store local cache will be refreshed periodically,reliability,yarn
yarn.federation.registry.base-dir,yarnfederation/,The registry base directory for federation.,environment,yarn
yarn.registry.class,org.apache.hadoop.registry.client.impl.FSRegistryOperationsService,The registry implementation to use.,others,yarn
yarn.client.application-client-protocol.poll-interval-ms,200,The interval that the yarn client library uses to poll the completion status of the asynchronous API of application client protocol.,reliability,yarn
yarn.client.application-client-protocol.poll-timeout-ms,-1,The duration (in ms) the YARN client waits for an expected state change to occur. -1 means unlimited wait time.,reliability,yarn
yarn.nodemanager.container-monitor.procfs-tree.smaps-based-rss.enabled,FALSE,"RSS usage of a process computed via /proc/pid/stat is not very accurate as it includes shared pages of a process. /proc/pid/smaps provides useful information like Private_Dirty, Private_Clean, Shared_Dirty, Shared_Clean which can be used for computing more accurate RSS. When this flag is enabled, RSS is computed as Min(Shared_Dirty, Pss) + Private_Clean + Private_Dirty. It excludes read-only shared mappings in RSS computation.",others,yarn
yarn.log.server.url,,URL for log aggregation server,environment,yarn
yarn.log.server.web-service.url,,URL for log aggregation server web service,environment,yarn
yarn.nodemanager.log-aggregation.roll-monitoring-interval-seconds,-1,"Defines how often NMs wake up to upload log files. The default value is -1. By default, the logs will be uploaded when the application is finished. By setting this configure, logs can be uploaded periodically when the application is running. The minimum rolling-interval-seconds can be set is 3600.",reliability,yarn
yarn.intermediate-data-encryption.enable,FALSE,"Enable/disable intermediate-data encryption at YARN level. For now, this only is used by the FileSystemRMStateStore to setup right file-system security attributes.",security,yarn
yarn.nodemanager.webapp.cross-origin.enabled,FALSE,Flag to enable cross-origin (CORS) support in the NM. This flag requires the CORS filter initializer to be added to the filter initializers list in core-site.xml.,manageability,yarn
yarn.cluster.max-application-priority,0,"Defines maximum application priority in a cluster. If an application is submitted with a priority higher than this value, it will be reset to this maximum value.",manageability,yarn
yarn.nodemanager.amrmproxy.enabled,FALSE,Enable/Disable AMRMProxyService in the node manager. This service is used to intercept calls from the application masters to the resource manager.,manageability,yarn
yarn.nodemanager.amrmproxy.address,0.0.0.0:8049,The address of the AMRMProxyService listener.,environment,yarn
yarn.nodemanager.amrmproxy.client.thread-count,25,The number of threads used to handle requests by the AMRMProxyService.,performance,yarn
yarn.nodemanager.amrmproxy.interceptor-class.pipeline,org.apache.hadoop.yarn.server.nodemanager.amrmproxy.DefaultRequestInterceptor,The comma separated list of class names that implement the RequestInterceptor interface. This is used by the AMRMProxyService to create the request processing pipeline for applications.,manageability,yarn
